Unnamed: 0,Last modified: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
CCE-567-8,"The ""VBA Macro Warning Settings"" setting should be configured correctly for PowerPoint 2007.",(1)  1 = No Security checks for macros | 2 = Trust Bar warning for all macros | 3 = Trust Bar warning for digitally signed macros only | 4 = No Warnings for all macros but disable all macros,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office PowerPoint 2007 / PowerPoint Options / Security / Trust Center 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\PowerPoint\Security\VBAWarnings",,CCE-567,Table 1.234. VBA Macro Warning Settings,"User Configuration\Administrative Templates\Microsoft Office PowerPoint 2007\PowerPoint Options\Security\Trust Center\VBA Macro Warning Settings (Trust Bar warning for all macros | Trust Bar warning for digitally signed macros only (unsigned macros will be disabled) | No Warnings for all macros but disable all macros | No Security checks for macros (Not recommended, code in all documents can run))",oval:org.mitre.oval:def:654,VBAMacroWarningSettings-PowerPoint,
CCE-68-7,"The ""Trust access to Visual Basic Project"" setting should be configured correctly for PowerPoint 2007.",(1) enabled/disabled,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office PowerPoint 2007 / PowerPoint Options / Security / Trust Center 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\PowerPoint\Security\AccessVBOM",,CCE-68,Table 1.225. Trust access to Visual Basic Project,User Configuration\Administrative Templates\Microsoft Office PowerPoint 2007\PowerPoint Options\Security\Trust Center\Trust access to Visual Basic Project,oval:org.mitre.oval:def:665,TrustAccessToVisualBasicProject-PowerPoint,
CCE-537-1,"The ""Disable Remember Passwords"" setting should be configured correctly for Outlook 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Classic Administrative Templates\Microsoft Office Outlook 2007\Security\Disable Remember Passwords
(2) HKCU\Software\Policies\Microsoft\Office\12.0\Outlook\Security\EnableRememberPwd",,CCE-537,,User Configuration\Administrative Templates\Classic Administrative Templates\Microsoft Office Outlook 2007\Security\Disable Remember Passwords ,oval:org.mitre.oval:def:1298,DisableRememberPassword,
CCE-786-4,"The ""Configure Add-In Trust Level"" setting should be configured correctly for Outlook 2007.",(1)  0 = Trust all or use Exchange settings if present  |  1 = Trust all loaded and installed COM addins  |  2 = Do NOT trust loaded and installed COM addins,"(1) User Configuration\Administrative Templates\Classic Administrative Templates\Microsoft Office Outlook 2007\Security\Configure Add-In Trust Level
(2) HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\AddinTrust",,CCE-786,Table 1.72. Configure trusted add-ins,User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Security Form Settings\Programmatic Security\Trusted Add-insConfigure trusted add-ins,oval:org.mitre.oval:def:1390,ConfigureAddInTrustLevel,
CCE-937-3,DEPRECATED in favor of CCE-537-1.,,,,CCE-937,,,,,
CCE-13-3,"The ""Minimum encryption settings"" setting should be configured correctly.",(1) enabled/disabled,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Outlook 2007 / Security / Cryptography 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\MinEncKey",,CCE-13,Table 1.173. Minimum encryption settings,User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Cryptography\Minimum encryption settings,oval:org.mitre.oval:def:661,MinimumEncryptionSettings,
CCE-316-0,"The ""Do not check e-mail address against address of certificates being using"" setting should be configured correctly.",(1) enabled/disabled,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Outlook 2007 / Security / Cryptography 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\SupressNameChecks",,CCE-316,Table 1.134. Do not check e-mail address against address of certificates being using,User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Cryptography\Do not check e-mail address against address of certificates being used,oval:org.mitre.oval:def:1399,DoNotCheckEmailAddressAgainstAddressOfCertificatesBeingUsed,
CCE-14-1,"The ""Send all signed messages as clear signed messages"" setting should be configured correctly.",(1) enabled/disabled,"(1) 2007: GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Outlook 2007 / Security / Cryptography 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\ClearSign 2003: 
(3) User Configuration\Administrative Templates\Microsoft Office Outlook 2003\Tools\Options\Security\Cryptography\Send all signed messages as clear signed messages 
(4)  HKCU\Software\Policies\Microsoft\Office\11.0\Outlook\Security - ClearSign ",,CCE-14,Table 1.214. Send all signed messages as clear signed messages,User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Cryptography\Send all signed messages as clear signed messages,oval:org.mitre.oval:def:1388,SendAllSignedMessagesAsClearSignedMessages,
CCE-153-7,"The ""Request an S/MIME receipt for all S/MIME signed messages"" setting should be configured correctly.",(1) enabled/disabled,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Outlook 2007 / Security / Cryptography 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\RequestSecureReceipt",,CCE-153,Table 1.198. Request an S/MIME receipt for all S/MIME signed messages,User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Cryptography\Request an S/MIME receipt for all S/MIME signed messages,oval:org.mitre.oval:def:705,RequestAnSMIMEReceiptForAllSMIMESignedMessages,
CCE-345-9,"The ""Do not display 'Publish to GAL' button"" setting should be configured correctly.",(1) enabled/disabled,"(1) 2007: GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Outlook 2007 / Security / Cryptography 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\PublishToGalDisabled 2003: 
(3) User Configuration\Administrative Templates\Microsoft Office Outlook 2003\Tools\Options\Security\Cryptography\Disable 'Publish to GAL' button 
(4)  HKCU\Software\Policies\Microsoft\office\11.0\outlook\Security - PublishToGalDisabled ",,CCE-345,Table 1.135. Do not display 'Publish to GAL' button,User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Cryptography\Do not display 'Publish to GAL' button,oval:org.mitre.oval:def:741,DoNotDisplayPublishToGALButton,
CCE-700-5,"The ""Signature Warning"" setting should be configured correctly.",(1)  0 = Let user decide if they want to be warned | 1 = Always warn about invalid signatures | 2 = Never warn about invalid signatures,"(1) 2007: GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Outlook 2007 / Security / Cryptography 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\WarnAboutInvalid 2003: 
(3) User Configuration\Administrative Templates\Microsoft Office Outlook 2003\Tools\Options\Security\Cryptography\Signature Warning 
(4)  HKCU\Software\Policies\Microsoft\Office\11.0\Outlook\Security - WarnAboutInvalid ",,CCE-700,Table 1.220. Signature Warning,User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Cryptography\Signature Warning (Let user decide if they want to be warned | Always warn about invalid signatures | Never warn about invalid signatures),oval:org.mitre.oval:def:756,SignatureWarning,
CCE-695-7,"The ""Enable Cryptography Icons"" setting should be configured correctly.",(1) enabled/disabled,"(1) 2007: GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Outlook 2007 / Security / Cryptography 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\ConvertSMIMEBlobSignedIcons 2003: (3) User Configuration\Administrative Templates\Microsoft Office Outlook 2003\Tools\Options\Security\Cryptography\Enable cryptography icons 
(4)  HKCU\Software\Policies\Microsoft\Office\11.0\Outlook\Security - ConvertSMIMEBlobSignedIcons",,CCE-695,,User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Cryptography\Enable Cryptography Icons,oval:org.mitre.oval:def:1716,EnableCryptographyIcons,
CCE-395-4,"The ""Retrieving CRLs (Certificate Revocation Lists)"" setting should be configured correctly.",(1)  0 = Use system Default | 1 = When online always retreive the CRL | 2 = Never retreive the CRL,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Outlook 2007 / Security / Cryptography / Signature Status Dialog Box 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Outlook\Security\UseCRLChasing",,CCE-395,Table 1.204. Retrieving CRLs (Certificate Revocation Lists),User Configuration\Administrative Templates\Microsoft Office Outlook 2007\Security\Cryptography\Signature Status dialog box\Retrieving CRLs (Certificate Revocation Lists) (Use system Default | When online always retreive the CRL | Never retreive the CRL),oval:org.mitre.oval:def:1700,RetrievingCRLs,
CCE-659-3,"The ""VBA Macro Warning Settings"" setting should be configured correctly for Word 2007.",(1)  1 = No Security checks for macros | 2 = Trust Bar warning for all macros | 3 = Trust Bar warning for digitally signed macros only | 4 = No Warnings for all macros but disable all macros,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Word 2007 / Word Options / Security / Trust Center 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Word\Security\VBAWarnings",,CCE-659,Table 1.234. VBA Macro Warning Settings,User Configuration\Administrative Templates\Microsoft Office Word 2007\Word Options\Security\Trust Center\VBA Macro Warning Settings (Trust Bar warning for all macros | Trust Bar warning for digitally signed macros only (unsigned macros will be disabled) | No Warnings for all macros but disable all macros | No ),oval:org.mitre.oval:def:1350,VBMacroWarningSettings-Word,
CCE-703-9,"The ""Trust access to Visual Basic Project"" setting should be configured correctly for Word 2007 and 2003.",(1) enabled/disabled,"(1) 2007: GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Word 2007 / Word Options / Security / Trust Center 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Policies\Microsoft\Office\12.0\Word\Security\AccessVBOM 2003: 
(3) Computer Configuration\Administrative Templates\Microsoft Office 2003\Security Settings\Word: Trust access to Visual Basic Project 
(4)  HKLM\Software\Policies\Microsoft\Office\11.0\Word\Security - AccessVBOM 
(5)  User Configuration\Administrative Templates\Microsoft Office Word 2003\Tools\Macro\Security\Trust access to Visual Basic Project 
(6)  HKCU\Software\Policies\Microsoft\Office\11.0\Word\Security - AccessVBOM",,CCE-703,Table 1.225. Trust access to Visual Basic Project,User Configuration\Administrative Templates\Microsoft Office Word 2007\Word Options\Security\Trust Center\Trust access to Visual Basic Project,oval:org.mitre.oval:def:1713,TrustAccessToVisualBasicProject-Word,
CCE-173-5,"The ""Warn before printing, saving or sending a file that contains tracked changes or comments"" setting should be configured correctly.",(1) enabled/disabled,"(1) 2007: GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Word 2007 / Word Options / Security 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Word\Options\vpref\fWarnRevisions_1805_1 2003: 
(2) User Configuration\Administrative Templates\Microsoft Office Word 2003\Tools\Options\Security\Warn before printing or saving or sending a file that contains tracked changes or comments 
(3)  HKCU\Software\Policies\Microsoft\Office\11.0\Word\Options\vpre",,CCE-173,,,oval:org.mitre.oval:def:788,WarnBeforePrintingSavingOrSendingAFileThatContainsTrackedChangesOrComments,
CCE-784-9,"The ""Block updates from the Office Update Site from applying"" setting should be configured correctly.",(1) enabled/disabled,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office 2007 / Miscellaneous 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\Common\OfficeUpdate\BlockUpdates",,CCE-784,Table 1.64. Block updates from the Office Update Site from applying,User Configuration\Administrative Templates\Microsoft Office 2007 system\Miscellaneous\Block updates from the Office Update Site from applying,oval:org.mitre.oval:def:1755,BlockUpdatesFromTheOfficeUpdateSiteFromApplying,STIG ID: DTOO213 - Office 2007 Rule ID: SV-18669r3_rule Vuln ID: V-17565: Block Office from receiving updates from the Office Update Site. 
CCE-1395-3,"The ""Underline hyperlinks"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Web Options\General\Underline hyperlinks 
(2)  Software\Policies\Microsoft\Office\12.0\Access\Internet",,CCE-1395,Table 1.230. Underline hyperlinks,User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Web Options\General\Underline hyperlinks,,,
CCE-1137-9,"The ""Number of documents in the Recent Documents list (0-9)"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\General\General\Number of documents in the Recent Documents list (0-9) 
(2)  Software\Policies\Microsoft\Office\12.0\Access\Settings",,CCE-1137,,User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\General\General\Number of documents in the Recent Documents list (0-9),,,
CCE-1423-3,"The ""Disable Trust Bar Notification for unsigned application add-ins"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Disable Trust Bar Notification for unsigned application add-ins 
(2)  Software\Policies\Microsoft\Office\12.0\Access\Security",,CCE-1423,Table 1.120. Disable Trust Bar Notification for unsigned application add-ins,User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Disable Trust Bar Notification for unsigned application add-ins,,,STIG ID: DTOO131 - Access Rule ID: SV-18219r2_rule Vuln ID: V-17187: Disable Trust Bar Notification for unsigned application add-ins - Access
CCE-1238-5,"The ""Disable all application add-ins"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Disable all application add-ins 
(2)  Software\Policies\Microsoft\Office\12.0\Access\Security",,CCE-1238,Table 1.87. Disable all application add-ins,User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Disable all application add-ins,,,
CCE-1476-1,"The ""Require that application add-ins are signed by Trusted Publisher"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Require that application add-ins are signed by Trusted Publisher 
(2)  Software\Policies\Microsoft\Office\12.0\Access\Security",,CCE-1476,Table 1.200. Require that application add-ins are signed by Trusted Publisher,User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Require that application add-ins are signed by Trusted Publisher,,,
CCE-1520-6,"The ""Disable all trusted locations"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Trusted LocationsDisable all trusted locations 
(2)  Software\Policies\Microsoft\Office\12.0\Access\Security\Trusted Locations",,CCE-1520,Table 1.89. Disable all trusted locations,User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Trusted Locations\Disable all trusted locations,,,
CCE-780-7,"The ""Allow Trusted Locations not on the computer"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Trusted Locations\Allow Trusted Locations not on the computer 
(2)  Software\Policies\Microsoft\Office\12.0\Access\Security\Trusted Locations",,CCE-780,Table 1.11. Allow Trusted Locations not on the computer,User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Trusted Locations\Allow Trusted Locations not on the computer,,,
CCE-1214-6,"The ""Modal Trust Decision Only"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Trusted Locations\Modal Trust Decision Only 
(2)  Software\Policies\Microsoft\Office\12.0\Access\Security\Trusted Locations",,CCE-1214,Table 1.176. Modal Trust Decision Only,User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\Trusted Locations\Modal Trust Decision Only,,,
CCE-1370-6,"The ""Disable commands"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands 
(2)  Software\Policies\Microsoft\Office\12.0\Access\DisabledCmdBarItemsCheckBoxes",,CCE-1370,Table 1.94. Disable commands,User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands,,,
CCE-1268-2,"The ""Disable commands - Office Button | E-Mail"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Office Button | E-Mail 
(2)  Software\Policies\Microsoft\Office\12.0\Access\DisabledCmdBarItemsCheckBoxes",,CCE-1268,Table 1.94. Disable commands,User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Office Button | E-Mail,,,
CCE-1400-1,"The ""Disable commands - Office Button | Access Options | Customize | All Commands | Insert Hyperlink"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Office Button | Access Options | Customize | All Commands | Insert Hyperlink 
(2)  Software\Policies\Microsoft\Office\12.0\Access\DisabledCmdBarItemsCheckBoxes",,CCE-1400,Table 1.94. Disable commands,User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Office Button | Access Options | Customize | All Commands | Insert Hyperlink,,,
CCE-1440-7,"The ""Disable commands - Database Tools | Database Tools | Encrypt with Password"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Database Tools | Database Tools | Encrypt with Password 
(2)  Software\Policies\Microsoft\Office\12.0\Access\DisabledCmdBarItemsCheckBoxes",,CCE-1440,Table 1.94. Disable commands,User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Database Tools | Database Tools | Encrypt with Password,,,
CCE-581-9,"The ""Disable commands - Database Tools | Administer | Users and Permission | User and Group Permissions"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Database Tools | Administer | Users and Permission | User and Group Permissions 
(2)  Software\Policies\Microsoft\Office\12.0\Access\DisabledCmdBarItemsCheckBoxes",,CCE-581,Table 1.94. Disable commands,User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Database Tools | Administer | Users and Permission | User and Group Permissions,,,
CCE-1480-3,"The ""Disable commands - Database Tools | Administer | Users and Permissions | User and Group Accounts"" setting should be configured correctly for Access 2007.",(1) enabled/disabled,"(1) User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Database Tools | Administer | Users and Permissions | User and Group Accounts 
(2)  Software\Policies\Microsoft\Office\12.0\Access\DisabledCmdBarItemsCheckBoxes",,CCE-1480,Table 1.94. Disable commands,User Configuration\Administrative Templates\Microsoft Office Access 2007\Disable items in user interface\Predefined\Disable commands - Database Tools | Administer | Users and Permissions | User and Group Accounts,,,
