CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-93213-7,os_allow_documents_managed_sources_unmanaged_destinations_disable,Ensure Allow documents from managed sources in unmanaged destinations is set to Disabled,"Documents from managed sources _MUST_ not be allowed in unmanaged destinations.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowOpenFromManagedToUnmanaged</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,"FMT_SMF_EXT.1.1 #42
FDP_ACF_EXT.1.2","AIOS-16-009700
AIOS-16-709700",2.2.1.8 (level 1 - End-User Owned Devices)3.2.1.21 (level 1 - Institutionally-Owned Devices),3.3,,,"CCI-002233
CCI-002530",medium,
CCE-93214-5,os_allow_documents_unmanaged_sources_managed_destinations_disable,Ensure Allow documents from unmanaged sources in managed destinations is set to Disabled,"Documents from unmanaged sources _MUST_ not be allowed in managed destinations.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowOpenFromUnmanagedToManaged</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,"FMT_SMF_EXT.1.1 #42
FDP_ACF_EXT.1.2",AIOS-16-714900,2.2.1.9 (level 1 - End-User Owned Devices)3.2.1.22 (level 1 - Institutionally-Owned Devices),3.3,,,"CCI-002233
CCI-002530",medium,
CCE-93215-2,os_apple_watch_pairing_disable,Ensure Apple Watch Pairing is Disabled,"Pairing an Apple Watch _MUST_ be disabled.

NOTE: Any currently paired Apple Watch is unpaired and the watch's content is erased.
",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPairedWatch</key>
<false/>
----

","CM-7
CM-7(1)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-012600,,,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93216-0,os_apple_watch_wrist_detection_enable,Ensure Force Apple Watch wrist detection is set to Enabled,"Wrist detection _MUST_ be enabled for paired Apple Watches.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceWatchWristDetection</key>
<true/>
----

","AC-3
CM-7
CM-7(1)",,,FMT_SMF_EXT.1.1 #47,"AIOS-16-011800
AIOS-16-711800",2.2.1.13 (level 1 - End-User Owned Devices)3.2.1.27 (level 1 - Institutionally-Owned Devices),3.3,,,CCI-000381,low,
CCE-93217-8,os_application_allow_list,Define Allowed Applications,"Requiring all authorized applications to be in an application allow list prevents the execution of any applications (e.g., unauthorized, malicious) that are not part of the allow list. Failure to configure an application allow list properly could allow unauthorized and malicious applications to be downloaded, installed, and executed on the mobile device, causing a compromise of DoD data accessible by these applications. Applications with the listed characteristics have features that can cause the compromise of sensitive DoD data or have features with no known application in the DoD environment.

Application note: The application allow list, in addition to controlling the installation of applications on the MD, must control user access/execution of all core and preinstalled applications, or the MD must provide an alternate method of restricting user access/execution to core and preinstalled applications.

Core application: Any application integrated into the OS by the OS or MD vendors.

Preinstalled application: Additional noncore applications included in the OS build by the OS vendor, MD vendor, or wireless carrier.

NOTE: See rule YAML file for implementation comments.",Manual, ,,This is implemented by a Configuration Profile,CM-7(5),,,FMT_SMF_EXT.1.1 #8b,"AIOS-16-007400
AIOS-16-707400",,,,,CCI-000366,medium,
CCE-93218-6,os_authentication_password_autofill_enable,Ensure Require Touch ID / Face ID authentication before AutoFill is set to Enabled,"Re-authentication _MUST_ be enabled at each Autofill operation.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAuthenticationBeforeAutoFill</key>
<true/>
----

","AC-3
IA-11",,,,,3.2.1.26 (level 1 - Institutionally-Owned Devices),3.3,,,,,
CCE-93219-4,os_auto_unlock_disable,Prevent Apple Watch from Unlocking a Device,"Apple Watches are not an approved authenticator and their use _MUST_ be disabled.

Disabling Apple watches is a necessary step to ensuring that the information system retains a session lock until the user reestablishes access using an authorized identification and authentication procedures.",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAutoUnlock</key>
<false/>
----

",AC-11,,,FMT_MOF_EXT.1.2 #47,AIOS-16-014800,,,,,"CCI-000767
CCI-002235",medium,
CCE-93220-2,os_diagnostics_reports_disable,Disable Sending Diagnostic and Usage Data to Apple,"The ability to submit diagnostic data to Apple _MUST_ be disabled.

The information system _MUST_ be configured to provide only essential capabilities. Disabling the submission of diagnostic and usage information will mitigate the risk of unwanted data being sent to Apple. 
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDiagnosticSubmission</key>
<false/>
----

","AC-20
SC-7(10)
SI-11",,,FMT_SMF_EXT.1.1 #47a,"AIOS-16-013400
AIOS-16-713400",2.2.1.12 (level 1 - End-User Owned Devices)3.2.1.25 (level 1 - Institutionally-Owned Devices),4.8,,,CCI-001199,medium,
CCE-93262-4,os_disallow_enterprise_app_trust,Disallow Apps to be Installed from Unauthorized Sources,Apps _MUST_ be installed from authorized application repositories. Disallowing enterprise app trust prevents apps from being provisioned by universal provisioning profiles.,Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEnterpriseAppTrust</key>
<false/>
----

",CM-11,,,FMT_SMF_EXT.1.1 #8a,"AIOS-16-007000
AIOS-16-707000",,,,,CCI-000366,low,
CCE-93221-0,os_enterprise_books_disable,Ensure Backup of Enterprise Books is set to Disabled,"If a user is able to configure the security setting, the user could inadvertently or maliciously set it to a value that poses unacceptable risk to DoD information systems. An adversary could exploit vulnerabilities created by the weaker configuration to compromise DoD sensitive information.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEnterpriseBookBackup</key>
<false/>
----

",CM-6 b,,,FMT_MOF_EXT.1.2 #40,"AIOS-16-003700
AIOS-16-703700",,,,,"CCI-000366
CCI-002110",medium,
CCE-93222-8,os_erase_contents_and_settings_disable,Ensure Allow Erase All Content and Settings is set to Disabled,"Erase all contents and settings _MUST_ be disabled on institutionally owned iOS devices.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEraseContentAndSettings</key>
<false/>
----

","CM-6
CM-7
CM-7(1)",,,,,3.2.1.12 (level 1 - Institutionally-Owned Devices),4.1,,,,,
CCE-93223-6,os_files_network_drive_access_disable,Ensure Allow network drive access in Files app is set to Disabled,"Network drive acces in Files app _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowFilesNetworkDriveAccess</key>
<false/>
----

",AC-20(2),,,FMT_SMF_EXT.1.1 #47,AIOS-16-014300,3.2.1.9 (level 2 - Institutionally-Owned Devices),1.2,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93224-4,os_files_usb_drive_access_disable,Ensure Allow USB drive access in Files app is set to Disabled,"USB drive acces in Files app _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowFilesUSBDriveAccess</key>
<false/>
----

",AC-20(2),,,FMT_SMF_EXT.1.1 #47,AIOS-16-013300,3.2.1.8 (level 2 - Institutionally-Owned Devices),1.2,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93225-1,os_find_my_friends_disable,Disable Find My Friends Service,"The Find My Friends service _MUST_ be disabled.

Sharing the location of a device may be an violation to an organization and potentially put users at risk.
",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowFindMyFriends</key>
<false/>
----

","AC-20
CM-7
CM-7(1)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-013100,,,,,"CCI-000366
CCI-000097
CCI-000370",low,
CCE-93226-9,os_force_date_and_time_enable,Ensure Force automatic date and time is set to Enabled,"Automatic date and time _MUST_ be enabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAutomaticDateAndTime</key>
<true/>
----

","AU-12(1)
SC-45(1)",,,,,2.2.1.7 (level 1 - End-User Owned Devices)3.2.1.17 (level 1 - Institutionally-Owned Devices),8.4,,,,,
CCE-93227-7,os_force_encrypted_backups_enable,Ensure Force Encrypted Backups is Enabled,"iOS and iPadOS backups _MUST_ be encrypted.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceEncryptedBackup</key>
<true/>
----

","CM-7
CM-7(1)
CP-09(8)
SC-28",,,FMT_SMF_EXT.1.1 #47,"AIOS-16-010700
AIOS-16-710700",2.2.1.4 (level 1 - End-User Owned Devices)3.2.1.10 (level 1 - Institutionally-Owned Devices),11.3,,,"CCI-000366
CCI-000370
CCI-000381",medium,
CCE-93228-5,os_handoff_disable,Disable Handoff,"Handoff _MUST_ be disabled. 

Handoff allows you to continue working on a document or project when the user switches from one Apple device to another. Disabling Handoff prevents data transfers to unauthorized devices.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowActivityContinuation</key>
<false/>
----

","AC-3
AC-20
CM-7
CM-7(1)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-010800,2.2.1.11 (level 2 - End-User Owned Devices)3.2.1.24 (level 2 - Institutionally-Owned Devices),3.3,,,"CCI-000366
CCI-000370
CCI-000381",low,
CCE-93229-3,os_install_configuration_profile_disable,Ensure Allow Installing Configuration Profiles is Set to Disabled,"Configuration profiles _MUST_ be installed via an organization's MDM.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowUIConfigurationProfileInstallation</key>
<false/>
----

","CM-6
CM-7
CM-7(1)",,,,,3.2.1.15 (level 1 - Institutionally-Owned Devices),4.1,,,,,
CCE-93462-0,os_install_vpn_configuration_disable,Ensure Allow adding VPN configurations is set to Disabled,"VPN configurations _MUST_ be installed via an organization's MDM.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowVPNCreation</key>
<false/>
----

","AC-17
AC-17(1)
AC-17(3)",,,FMT_SMF_EXT.1.1 #3,"AIOS-16-001000
AIOS-16-701000",3.2.1.16 (level 1 - Institutionally-Owned Devices),12.7,,,"CCI-000366
CCI-000370
CCI-000066",low,
CCE-93231-9,os_limit_ad_tracking_enable,Enable Limit Ad Tracking,"Ad tracking and targeted ads _MUST_ be disabled.

The information system _MUST_ be configured to provide only essential capabilities. Disabling ad tracking ensures that applications and advertisers are unable to track users' interests and deliver targeted advertisements.
",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceLimitAdTracking</key>
<true/>
----

","AC-20
CM-7
CM-7(1)
SC-7(10)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-010500,,4.8,,,"CCI-000366
CCI-000370
CCI-001199",low,
CCE-93232-7,os_mail_maildrop_disable,Ensure Allow Mail Drop is set to Disabled,"Mail Drop _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>allowMailDrop</key>
<false/>
----

","AC-3
AC-20
CM-7
CM-7(1)
SC-07(10)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-011000,2.7.2 (level 2 - End-User Owned Devices)3.7.2 (level 2 - Institutionally-Owned Devices),3.3,,,"CCI-000366
CCI-000370
CCI-002314",medium,
CCE-93233-5,os_mail_move_messages_disable,Ensure Allow user to move messages from this account is set to Disabled,"Mail from institutionally configured mail accounts _MUST_ not be allowed to move to personaly mail accounts.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>PreventMove</key>
<false/>
----

","AC-21
CM-7
CM-7(1)
SC-4
SC-07(10)",,,FMT_SMF_EXT.1.1 #47,"AIOS-16-011400
AIOS-16-711400",2.7.1 (level 1 - End-User Owned Devices)3.7.1 (level 1 - Institutionally-Owned Devices),3.3,,,"CCI-000366
CCI-000370
CCI-000764",medium,
CCE-93234-3,os_modify_cellular_data_app_settings_disable,Ensure Allow modifying cellular data app settings is set to Disabled,"The ability to modify cellular data app settings _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAppCellularDataModification</key>
<false/>
----

","CM-7
CM-7(1)",,,,,3.2.1.18 (level 2 - Institutionally-Owned Devices),4.1,,,,,
CCE-93235-0,os_new_device_proximity_disable,Ensure Allow setting up new nearby devices is set to Disabled,"The setting up of new nearby devices _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowProximitySetupToNewDevice</key>
<false/>
----

","CM-6
CM-7
CM-7(1)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-012800,3.2.1.28 (level 1 - Institutionally-Owned Devices),3.13,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93236-8,os_on_device_dictation_enforce,Ensure On Device Dictation is Enforced,"The device _MUST_ be configured for on device dictation.

By enforcing on device dictation this will mitigate the risk of unwanted data being sent to Apple.",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceOnDeviceOnlyDictation</key>
<true/>
----

","SI-11
AC-20
SC-7(10)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-014400,,,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93237-6,os_on_device_translation_enforce,Ensure On Device Translation is Enforced,"The device _MUST_ be configured for on device translation.

By enforcing on device translation this will mitigate the risk of unwanted data being sent to Apple.
",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceOnDeviceOnlyTranslation</key>
<true/>
----

","SI-11
AC-20
SC-7(10)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-014500,,,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93238-4,os_pairing_non_configurator_hosts_disable,Ensure Allow pairing with non-Configurator hosts is set to Disabled,"Host pairing with a non-Configurator host _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowHostPairing</key>
<false/>
----

","CM-6
CM-7
CM-7(1)",,,,,3.2.1.20 (level 2 - Institutionally-Owned Devices),4.8,,,,,
CCE-93239-2,os_password_autofill_disable,Disable Password Autofill,"Password Autofill _MUST_ be disabled. 

iOS allows users to save passwords and use the Password Autofill feature in Safari and compatible apps. To protect against malicious users gaining access to the device, this feature _MUST_ be disabled to prevent users from being prompted to save passwords in applications.
",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPasswordAutoFill</key>
<false/>
----

","IA-5(13)
CM-7
CM-7(1)
IA-11
IA-5",,,FMT_SMF_EXT.1.1 #47,AIOS-16-012700,,,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93240-0,os_password_proximity_disable,Disable Proximity Based Password Sharing Requests,"Proximity based password sharing requests _MUST_ be disabled. 

The default behavior of iOS is to allow users to request passwords from other known devices (macOS and iOS). This feature _MUST_ be disabled to prevent passwords from being shared.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPasswordProximityRequests</key>
<false/>
----

",IA-5,,,FMT_SMF_EXT.1.1 #47,AIOS-16-012900,3.2.1.29 (level 1 - Institutionally-Owned Devices),13.5,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93241-8,os_password_sharing_disable,Disable Password Sharing,"Password Sharing _MUST_ be disabled. 

The default behavior of iOS/iPadOS is to allow users to share a password over Airdrop between other macOS and iOS devices. This feature _MUST_ be disabled to prevent passwords from being shared.
",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPasswordSharing</key>
<false/>
----

",IA-5,,,FMT_SMF_EXT.1.1 #47,AIOS-16-013000,,,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93242-6,os_personalized_advertising_disable,Disable Personalized Advertising,"Ad tracking and targeted ads _MUST_ be disabled.

The information system _MUST_ be configured to provide only essential capabilities. Disabling ad tracking ensures that applications and advertisers are unable to track users' interests and deliver targeted advertisements.  
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowApplePersonalizedAdvertising</key>
<false/>
----

","AC-20
CM-7
CM-7(1)",,,,,2.2.1.5 (level 1 - End-User Owned Devices)3.2.1.11 (level 1 - Institutionally-Owned Devices),4.8,,,,,
CCE-93243-4,os_require_managed_pasteboard_enforce,Ensure copy/paste of data from Managed to Unmanaged Applications is Disabled,"The device _MUST_ be configured to disable copy/paste of data from managed to unmanaged applications.

If 'true', copy and paste functionality respects the 'allowOpenFromManagedToUnmanaged' and 'allowOpenFromUnmanagedToManaged' restrictions. ",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>requireManagedPasteboard</key>
<true/>
----

","AC-23
SC-7(10)",,,FMT_SMF_EXT.1.1 #47,"AIOS-16-014600
AIOS-16-714600",,,,,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93244-2,os_safari_cookies_set,Ensure Accept cookies is set to From websites I visit or From current website only,"Acceptance of cookies _MUST_ be only from sites visited.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>safariAcceptCookies</key>
----

",,,,,,2.2.2.2 (level 1 - End-User Owned Devices)3.2.2.2 (level 1 - Institutionally-Owned Devices),9.4,,,,,
CCE-93263-2,os_safari_force_fraud_warning_enable,Ensure Force Fraud Warning is set to Enabled,"Force fraud warning _MUST_ be enabled in Safari.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>safariForceFraudWarning</key>
<true/>
----

",,,,,,2.2.2.1 (level 1 - End-User Owned Devices)3.2.2.1 (level 1 - Institutionally-Owned Devices),9.4,,,,,
CCE-93245-9,os_safari_password_autofill_disable,Disable Automatic Completion of Safari Browser Passcodes,"The AutoFill functionality in the Safari web browser allows the user to complete a form that contains sensitive information, such as PII, without previous knowledge of the information. By allowing the use of the AutoFill functionality, an adversary who learns a user's iPhone or iPad passcode, or who otherwise is able to unlock the device, may be able to further breach other systems by relying on the AutoFill feature to provide information unknown to the adversary. By disabling the AutoFill functionality, the risk of an adversary gaining additional information about the device's user or compromising other systems is significantly mitigated.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>safariAllowAutoFill</key>
<false/>
----

","IA-5(13)
CM-7
CM-7(1)
IA-11
IA-5",,,FMT_SMF_EXT.1.1 #47,AIOS-16-010600,,"4.1
4.8",,,"CCI-000366
CCI-000370
CCI-000381",low,
CCE-93246-7,os_screenshots_disable,Ensure Allow screenshots and screen recording is set to Disabled,"Screenshots and screen recordings on iOS _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowScreenShot</key>
<false/>
----

","CM-7
CM-7(1)
SC-07(10)",,,,,3.2.1.1 (level 2 - Institutionally-Owned Devices),3.3,,,,,
