Unnamed: 0,Last modfied: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
CCE-27829-1,The Windows permissions of Apache's /bin directory should be configred appropriately,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 W22  Rule ID: SV-33078r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27306-0,The Windows permissions of Apache's /logs directory should be configred appropriately,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 W22  Rule ID: SV-33078r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27813-5,The Windows permissions of Apache's /htdocs directory should be configred appropriately,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 W22  Rule ID: SV-33078r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27773-1,The Apache site's robots.txt should be configured to disallow paths and files as appropriate.,"(1) User-Agent
(2) Disallowed path(s)|file(s)",(1) robots.txt,,,,"Rule Title: A private web server must not respond to requests from public search engines.
STIG ID: WG310 W22  Rule ID: SV-28798r2_rule  Vuln ID: V-2260
Severity: CAT II  Class: Unclass",,"Rule Title: A private web server must not respond to requests from public search engines.
STIG ID: WG310 A22  Rule ID: SV-33028r1_rule  Vuln ID: V-2260
Severity: CAT II  Class: Unclass",
CCE-27872-1,Apache's ssl_module should be enabled or disabled as appropriate.,(1) ssl_module,(1) Apache configuration file: LoadModule directive,,"1.7.1 Install mod_ssl and/or mod_nss (Level 1, Scorable)
Ensure the mod_ssl and/or mod_nss is loaded in the Apache configuration: # httpd -M | egrep 'ssl_module|nss_module' p59",,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 W22  Rule ID: SV-14297r4_rule Vuln ID: V-2262
Severity: CAT II  Class: Unclass",,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 A22  Rule ID: SV-33029r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",
CCE-27740-0,The Apache SSLProtocol directive should be configured appropriately.,(1) SSLv2 / SSLv3 / TLSv1 / All,(1) Apache configuration file: SSLProtocol directive,,"1.7.4 Restrict weak SSL Protocols and Ciphers (Level 1, Scorable)
Add or modify the following line in the Apache server level configuration and every virtual host that is SSL enabled: SSLProtocol -ALL +SSLv3 +TLSv1 p65",,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 W22  Rule ID: SV-14297r4_rule Vuln ID: V-2262
Severity: CAT II  Class: Unclass",,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 A22  Rule ID: SV-33029r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",
CCE-27576-8,The Apache SSLEngine directive should be configured appropriately.,(1) On / Off,(1) Apache configuration file: SSLEngine directive,,,,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 W22  Rule ID: SV-14297r4_rule Vuln ID: V-2262
Severity: CAT II  Class: Unclass",,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 A22  Rule ID: SV-33029r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",
CCE-27753-3,The requried permssions for the file %SystemRoot%\System32\wscript.exe should be assigned.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the %SystemRoot%\System32\wscript.exe DACL  ,,,,,"Rule Title: Wscript.exe and Cscript.exe must only be accessible by the SA and/or the web administrator.
STIG ID: WG470 W22  Rule ID: SV-33095r1_rule  Vuln ID: V-2264
Severity: CAT II  Class: Unclass",,
CCE-27598-2,The required permissions for the file %SystemRoot%\System32\cscript.exe should be assigned,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the %SystemRoot%\System32\cscript.exe DACL  ,,,,,"Rule Title: Wscript.exe and Cscript.exe must only be accessible by the SA and/or the web administrator.
STIG ID: WG470 W22  Rule ID: SV-33095r1_rule  Vuln ID: V-2264
Severity: CAT II  Class: Unclass",,
CCE-27380-5,"The Apache ""ServerTokens"" directive should be configured appropriately.",(1) Prod[uctOnly] / Major / Minor / Min[imal] / OS / Full,(1) Apache configuration file: ServerTokens directive,,"1.8.1 Limit Information in the Server Token (Level 1, Scorable)
Add or modify the ServerTokens directive as shown below to have the value of Prod or ProductOnly: ServerTokens Prod page 68",1.16 Software Information Leakage Protection p29,,"Rule Title: Web server and/or operating system information must be protected.
STIG ID: WG520 W22  Rule ID: SV-33098r1_rule  Vuln ID: V-6724
Severity: CAT III  Class: Unclass",,"Rule Title: Web server and/or operating system information must be protected.
STIG ID: WG520 A22  Rule ID: SV-36672r1_rule  Vuln ID: V-6724
Severity: CAT III  Class: Unclass"
CCE-27686-5,The Apache web server be run with the appropriate privileges.,(1) Account type: ( privileged / non privileged ),(1) My Computer / Manage / Configuration / Local Users and Groups / <account name>,,,,,"Rule Title: The web server, although started by superuser or privileged account, must run using a non-privileged account.
STIG ID: WG275 W22  Rule ID: SV-36607r1_rule  Vuln ID: V-13619
Severity: CAT II  Class: Unclass",,
CCE-27469-6,All Apache's online manual should be available or removed as appropriate.,(1) exist / not exist,(1) manual in the Server Root directory,,"1.5.4 Remove Default HTML Content (Level 1, Scorable)
Remove the Apache user manual content or comment out configurations referencing the manual # yum erase httpd-manual page 37",,,"Rule Title: All web server documentation, sample code, example applications, and tutorials must be  removed from a production web server.
STIG ID: WG385 W22  Rule ID: SV-33087r1_rule  Vuln ID: V-13621
Severity: CAT I  Class: Unclass",,"Rule Title: All web server documentation, sample code, example applications, and tutorials must be  removed from a production web server.
STIG ID: WG385 A22  Rule ID: SV-32933r1_rule  Vuln ID: V-13621
Severity: CAT I  Class: Unclass"
CCE-27870-5,Apache's demo CGI printenv.pl should be available or removed as appropriate,(1) exist / not exist,"(1) (ServerRoot)\cgi-bin\printenv.pl
(2) (ServerRoot)/cgi-bin/printenv.pl",,"1.5.5 Remove Default CGI Content printenv (Level 1, Scorable)
Remove the printenv default CGI in cgi-bin directory if it is installed. # rm $APACHE_PREFIX/cgi-bin/printenv page 39",1.18 Remove Default Content p33,,"Rule Title: All web server documentation, sample code, example applications, and tutorials must be  removed from a production web server.
STIG ID: WG385 W22  Rule ID: SV-33087r1_rule  Vuln ID: V-13621
Severity: CAT I  Class: Unclass",,"Rule Title: All web server documentation, sample code, example applications, and tutorials must be  removed from a production web server.
STIG ID: WG385 A22  Rule ID: SV-32933r1_rule  Vuln ID: V-13621
Severity: CAT I  Class: Unclass"
CCE-27639-4,The Apache access log file data should be configured to contain the appropriate data elements.,(1) LogFormat Format String,(1) Apache configuration file: LogFormat directive,,"1.6.2 Configure the Access Log (Level 1, Scorable)
Add or modify the LogFormat directives in the Apache configuration to use the standard and recommended combined format show as shown below. LogFormat ""%h %l %u %t \""%r\"" %>s %b \""%{Referer}i\"" \""%{User-agent}i\"""" combined",1.17 Logging p30,"Rule Title: Log file data must contain required data elements.
STIG ID: WG242 W22  Rule ID: SV-28654r2_rule  Vuln ID: V-13688
Severity: CAT II  Class: Unclass",,"Rule Title: Log file data must contain required data elements.
STIG ID: WG242 A22  Rule ID: SV-36642r1_rule  Vuln ID: V-13688
Severity: CAT II  Class: Unclass",
CCE-27688-1,"The Apache ""Timeout"" directive should be configured appropriately.",(1) Number value (in seconds),(1) Apache configuration file: Timeout directive,,"1.9.1 Denial of Service Mitigation (Level 1, Scorable)
Add or modify the Timeout directive in the Apache configuration to have a value of 10 seconds or shorter. Timeout 10 page 71",1.13 Denial of Service Prevention Tuning p21,,"Rule Title: The Timeout directive must be properly set.
STIG ID: WA000-WWA020 W22  Rule ID: SV-32980r1_rule  Vuln ID: V-13724
Severity: CAT II  Class: Unclass",,"Rule Title: The Timeout directive must be properly set.
STIG ID: WA000-WWA020 A22  Rule ID: SV-32977r1_rule  Vuln ID: V-13724
Severity: CAT II  Class: Unclass"
CCE-27456-3,"The Apache ""KeepAlive"" directive should be configured appropriately.",(1) On / Off,(1) Apache configuration file: KeepAlive directive,,"1.9.1 Denial of Service Mitigation (Level 1, Scorable)
Add or modify the KeepAlive directive in the Apache configuration to have a value of On, so that Keepalive connections are enabled. KeepAlive On page 71",1.13 Denial of Service Prevention Tuning p21,,"Rule Title: The KeepAlive directive must be enabled.
STIG ID: WA000-WWA022 W22  Rule ID: SV-32987r1_rule  Vuln ID: V-13725
Severity: CAT II  Class: Unclass",,"Rule Title: The KeepAlive directive must be enabled.
STIG ID: WA000-WWA022 A22  Rule ID: SV-32844r1_rule  Vuln ID: V-13725
Severity: CAT II  Class: Unclass"
CCE-27330-0,"The Apache ""KeepAliveTimeout"" directive should be configured appropriately.",(1) Number value (in seconds),(1) Apache configuration file: KeepAliveTimeout directive,,"1.9.1 Denial of Service Mitigation (Level 1, Scorable)
Add or modify the KeepAliveTimeout directive in the Apache configuration to have a value of 15 or less. KeepAliveTimeout 15 page 71",1.13 Denial of Service Prevention Tuning p21,,"Rule Title: The KeepAliveTimeout directive must be defined.
STIG ID: WA000-WWA024 W22  Rule ID: SV-32880r1_rule  Vuln ID: V-13726
Severity: CAT II  Class: Unclass",,"Rule Title: The KeepAliveTimeout directive must be defined.
STIG ID: WA000-WWA024 A22  Rule ID: SV-32877r1_rule  Vuln ID: V-13726
Severity: CAT II  Class: Unclass"
CCE-27877-0,"The Apache ""FollowSymLinks"" setting for all ""Options"" directives should be configured appropriately.",(1) FollowSymLinks / -FollowSymLinks / +FollowSymLinks / None,(1) Apache configuration file: Options directive,,"1.5.3 Minimize Options for Other Directories (Level 1, Scorable)
FollowSymLinks & SymLinksIfOwnerMatch – The following of symbolic links is not recommended and should be disabled if possible. Page 35",,,"Rule Title: The FollowSymLinks setting must be disabled.
STIG ID: WA000-WWA052 W22  Rule ID: SV-33001r1_rule  Vuln ID: V-13732
Severity: CAT II  Class: Unclass",,"Rule Title: The FollowSymLinks setting must be disabled.
STIG ID: WA000-WWA052 A22  Rule ID: SV-40129r1_rule  Vuln ID: V-13732
Severity: CAT II  Class: Unclass"
CCE-27764-0,"The Apache ""Includes"" setting for all ""Options"" directives should be configured appropriately.",(1) Includes / -Includes / +Includes / None,(1) Apache configuration file: Options directive,,1.5.3 Minimize Options for Other Directories Includes & IncludesNOEXEC – The IncludesNOEXEC option should only be needed when server side includes are required. The full Includes option should not be used as it also allows execution of arbitrary shell commands. Page 35,,,"Rule Title: Server side includes (SSIs) must run with execution capability disabled.
STIG ID: WA000-WWA054 W22  Rule ID: SV-33003r1_rule  Vuln ID: V-13733
Severity: CAT I  Class: Unclass",,"Rule Title: Server side includes (SSIs) must run with execution capability disabled.
STIG ID: WA000-WWA054 A22  Rule ID: SV-32753r1_rule  Vuln ID: V-13733
Severity: CAT I  Class: Unclass"
CCE-27666-7,"The Apache ""IncludesNoExec"" setting for all ""Options"" directives should be configured appropriately.",(1) IncludesNoExec / -IncludesNoExec / +IncludesNoExec / None,(1) Apache configuration file: Options directive,,1.5.3 Minimize Options for Other Directories Includes & IncludesNOEXEC – The IncludesNOEXEC option should only be needed when server side includes are required. The full Includes option should not be used as it also allows execution of arbitrary shell commands. Page 35,,,"Rule Title: Server side includes (SSIs) must run with execution capability disabled.
STIG ID: WA000-WWA054 W22  Rule ID: SV-33003r1_rule  Vuln ID: V-13733
Severity: CAT I  Class: Unclass",,"Rule Title: Server side includes (SSIs) must run with execution capability disabled.
STIG ID: WA000-WWA054 A22  Rule ID: SV-32753r1_rule  Vuln ID: V-13733
Severity: CAT I  Class: Unclass"
CCE-27757-4,"The Apache ""MultiViews"" setting for all ""Options"" directives should be configured appropriately.",(1) MultiViews / -MultiViews / +MultiViews / None,(1) Apache configuration file: Options directive,,"1.5.3 Minimize Options for Other Directories (Level 1, Scorable)
Multiviews – Is appropriate if content negotiation is required such as for multiple language are supported. Page 35",,,"Rule Title: The MultiViews directive must be disabled.
STIG ID: WA000-WWA056 W22  Rule ID: SV-33004r1_rule  Vuln ID: V-13734
Severity: CAT II  Class: Unclass",,"Rule Title: The MultiViews directive must be disabled.
STIG ID: WA000-WWA056 A22  Rule ID: SV-32754r1_rule  Vuln ID: V-13734
Severity: CAT II  Class: Unclass"
CCE-27657-6,"The Apache ""Indexes"" setting for all ""Options"" directives should be configured appropriately.",(1) Indexes / -Indexes / +Indexes / None,(1) Apache configuration file: Options directive,,"1.5.3 Minimize Options for Other Directories (Level 1, Scorable)
Indexes – The Indexes option causes automatic generation of indexes, if the default index page is missing, and should be disabled unless required. Page 35",,,"Rule Title: Directory indexing must be disabled on directories not containing index files.
STIG ID: WA000-WWA058 W22  Rule ID: SV-33006r1_rule  Vuln ID: V-13735
Severity: CAT II  Class: Unclass",,"Rule Title: Directory indexing must be disabled on directories not containing index files.
STIG ID: WA000-WWA058 A22  Rule ID: SV-32755r1_rule  Vuln ID: V-13735
Severity: CAT II  Class: Unclass"
CCE-27618-8,"The Apache ""LimitRequestBody"" directive should be configured appropriately.",(1) Number value (in bytes) ,(1) Apache configuration file: LimitRequestBody directive,,"1.9.2 Buffer Overflow Mitigation (Level 2, Scorable)
Add or modify the LimitRequestBody directive in the Apache configuration to have a value of 102400 (100K) or less. Please read the Apache documentation so that it is understood that this directive will limit the size of file up-loads to the web server. LimitRequestBody 102400 page 73",1.14 Buffer Overflow Protection Tuning p23,,"Rule Title: The HTTP request message body size must be limited.
STIG ID: WA000-WWA060 W22  Rule ID: SV-33008r1_rule  Vuln ID: V-13736
Severity: CAT II  Class: Unclass",,"Rule Title: The HTTP request message body size must be limited.
STIG ID: WA000-WWA060 A22  Rule ID: SV-32756r1_rule  Vuln ID: V-13736
Severity: CAT II  Class: Unclass+G66"
CCE-27741-8,"The Apache ""LimitRequestFields"" directive should be configured appropriately",(1) Number value,(1) Apache configuration file: LimitRequestFields directive,,"1.9.2 Buffer Overflow Mitigation (Level 2, Scorable)
Add or modify the LimitRequestFields directive in the Apache configuration to have a value of 100 or less. If the directive is not present the default depends on a compile time configuration, but defaults to a value of 100. LimitRequestFields 100 page 73",1.14 Buffer Overflow Protection Tuning p24,,"Rule Title: The HTTP request header fields must be limited.
STIG ID: WA000-WWA062 W22  Rule ID: SV-33009r1_rule  Vuln ID: V-13737
Severity: CAT II  Class: Unclass",,"Rule Title: The HTTP request header fields must be limited.
STIG ID: WA000-WWA062 A22  Rule ID: SV-32757r1_rule  Vuln ID: V-13737
Severity: CAT II  Class: Unclass"
CCE-27554-5,"The Apache ""LimitRequestFieldSizeBody"" directive should be configured appropriately.",(1) Number value (in bytes),(1) Apache configuration file: LimitRequestFieldSizeBody directive,,"1.9.2 Buffer Overflow Mitigation (Level 2, Scorable)
Add or modify the LimitRequestFieldsize directive in the Apache configuration to have a value of 1024 or less. LimitRequestFieldsize 1024 page 73",1.14 Buffer Overflow Protection Tuning p24,,"Rule Title: The HTTP request header field size must be limited.
STIG ID: WA000-WWA064 W22  Rule ID: SV-33010r1_rule  Vuln ID: V-13738
Severity: CAT II  Class: Unclass",,"Rule Title: The HTTP request header field size must be limited.
STIG ID: WA000-WWA064 A22  Rule ID: SV-32766r1_rule  Vuln ID: V-13738
Severity: CAT II  Class: Unclass"
CCE-27426-6,"The Apache ""LimitRequestline"" directive should be configured appropriatley.",(1) Number value (in bytes) ,(1) Apache configuration file: LimitRequestLine directive,,"1.9.2 Buffer Overflow Mitigation (Level 2, Scorable)
Add or modify the LimitRequestline directive in the Apache configuration to have a value of 512 or shorter. LimitRequestline 512 page 72",1.14 Buffer Overflow Protection Tuning p24,,"Rule Title: The HTTP request line must be limited.
STIG ID: WA000-WWA066 W22  Rule ID: SV-33011r1_rule  Vuln ID: V-13739
Severity: CAT II  Class: Unclass",,"Rule Title: The HTTP request line must be limited.
STIG ID: WA000-WWA066 A22  Rule ID: SV-32768r1_rule  Vuln ID: V-13739
Severity: CAT II  Class: Unclass"
CCE-27822-6,The path for Apache sites error log files should be configured appropriately.,(1) File path,(1) Apache configuration file: ErrorLog directive,,"1.6.1 Configure the Error Log (Level 1, Scorable)
Add an ErrorLog directive if not already configured. The file path may be relative or absolute, or the logs may be configured to be sent to a syslog server. ErrorLog ""logs/error_log"" Add a similar ErrorLog directive for each virtual host configured if the virtual host will have different people responsible for the web site. Each responsible individual or organization needs access to their own web logs, and needs the skills/training/tools for monitor the logs. page 50",2.5 Syslog Logging p44-45,"Rule Title: Error logging must be enabled.
STIG ID: WA00605 W22  Rule ID: SV-33147r1_rule  Vuln ID: V-26279
Severity: CAT II  Class: Unclass",,"Rule Title: Error logging must be enabled.
STIG ID: WA00605 A22  Rule ID: SV-33192r1_rule  Vuln ID: V-26279
Severity: CAT II  Class: Unclass",
CCE-27794-7,The Apache system logging should be configured appropriately.,"(1) File path | pipe
(2)  LogFormat | nickname ",(1) Apache configuration file: CustomLog directive,,"1.6.2 Configure the Access Log (Level 1, Scorable)
Add or modify the CustomLog directives in the Apache configuration to use the combined format with an appropriate log file, syslog facility or piped logging utility. CustomLog log/access_log combined
Add a similar CustomLog directives for each virtual host configured if the virtual host will have different people responsible for the web site. Each responsible individual or organization needs access to their own web logs, and needs the skills/training/tools for monitor the logs. page 51",1.17 Logging p31,"Rule Title: System logging must be enabled.
STIG ID: WA00615 W22  Rule ID: SV-33151r1_rule  Vuln ID: V-26281
Severity: CAT II  Class: Unclass",,"Rule Title: System logging must be enabled.
STIG ID: WA00615 A22  Rule ID: SV-33206r1_rule  Vuln ID: V-26281
Severity: CAT II  Class: Unclass",
CCE-27879-6,"The Apache ""LogLevel"" directive should be configured appropriately.",(1) debug / info / notice / warn / error / crit / alert / emerg,(1) Apache configuration file: LogLevel directive,,"1.6.1 Configure the Error Log (Level 1, Scorable)
Add or modify the LogLevel in the apache configuration to have a value of notice or lower. Note that is it is compliant to have a value of info or debug if there is a need for a more verbose log and the storage and monitoring processes are capable of handling the extra load. The recommended value is notice. LogLevel notice page 50",1.17 Logging p31,"Rule Title: The LogLevel directive must be enabled.
STIG ID: WA00620 W22  Rule ID: SV-33153r1_rule  Vuln ID: V-26282
Severity: CAT II  Class: Unclass",,"Rule Title: The LogLevel directive must be enabled.
STIG ID: WA00620 A22  Rule ID: SV-33207r1_rule  Vuln ID: V-26282
Severity: CAT II  Class: Unclass",
CCE-27132-0,Web Distributed Authoring and Versioning (WebDav) dav_module should be enabled or disabled as appropriate.,(1) dav_module,(1) Apache configuration file: LoadModule directive,,"1.2.3 Disable WebDAV modules (Level 1, Scorable)
For dynamically loaded modules comment out or remove the LoadModule directive for mod_dav, and mod_dav_fs modules the from the httpd.conf file. ##LoadModule dav_module modules/mod_dav.so ##LoadModule dav_fs_module modules/mod_dav_fs.so page 13",,,"Rule Title: Web Distributed Authoring and Versioning (WebDAV) must be disabled.
STIG ID: WA00505 W22  Rule ID: SV-33169r1_rule  Vuln ID: V-26287
Severity: CAT II  Class: Unclass",,"Rule Title: Web Distributed Authoring and Versioning (WebDAV) must be disabled.
STIG ID: WA00505 A22  Rule ID: SV-33216r1_rule  Vuln ID: V-26287
Severity: CAT II  Class: Unclass"
CCE-27861-4,Web Distributed Authoring and Versioning (WebDav) dav_fs_module should be enabled or disabled as appropriate.,(1) dav_fs_module,(1) Apache configuration file: LoadModule directive,,"1.2.3 Disable WebDAV modules (Level 1, Scorable)
For dynamically loaded modules comment out or remove the LoadModule directive for mod_dav, and mod_dav_fs modules the from the httpd.conf file. ##LoadModule dav_module modules/mod_dav.so ##LoadModule dav_fs_module modules/mod_dav_fs.so page 13",,,"Rule Title: Web Distributed Authoring and Versioning (WebDAV) must be disabled.
STIG ID: WA00505 W22  Rule ID: SV-33169r1_rule  Vuln ID: V-26287
Severity: CAT II  Class: Unclass",,"Rule Title: Web Distributed Authoring and Versioning (WebDAV) must be disabled.
STIG ID: WA00505 A22  Rule ID: SV-33216r1_rule  Vuln ID: V-26287
Severity: CAT II  Class: Unclass"
