CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,DISA STIG,CCI
CCE-90854-1,audit_auditd_enabled,Enable Security Auditing,"The information system _MUST_ be configured to generate audit records. 

Audit records establish what types of events have occurred, when they occurred, and which users were involved. These records aid an organization in their efforts to establish, correlate, and investigate the events leading up to an outage or attack.

The content required to be captured in an audit record varies based on the impact level of an organization's system. Content that may be necessary to satisfy this requirement includes, for example, time stamps, source addresses, destination addresses, user identifiers, event descriptions, success/fail indications, filenames involved, and access or flow control rules invoked.

The information system initiates session audits at system start-up.

NOTE: Security auditing is enabled by default on macOS.
",Script,"/bin/launchctl list | /usr/bin/grep -c com.apple.auditd
",{'integer': 1},"[source,bash]
----
/bin/launchctl load -w /System/Library/LaunchDaemons/com.apple.auditd.plist
----
","AU-3
AU-3(1)
AU-8
AU-12
AU-12(1)
AU-12(3)
AU-14(1)
MA-4(1)
CM-5(1)","3.3.1
3.3.2
3.3.7","SRG-OS-000037-GPOS-00015
SRG-OS-000038-GPOS-00016
SRG-OS-000039-GPOS-00017
SRG-OS-000040-GPOS-00018
SRG-OS-000041-GPOS-00019
SRG-OS-000042-GPOS-00020
SRG-OS-000042-GPOS-00021
SRG-OS-000055-GPOS-00026
SRG-OS-000254-GPOS-00095
SRG-OS-000255-GPOS-00096
SRG-OS-000303-GPOS-00120
SRG-OS-000337-GPOS-00129
SRG-OS-000358-GPOS-00145
SRG-OS-000359-GPOS-00146",APPL-12-001003,"CCI-000130
CCI-000131
CCI-000132
CCI-000133
CCI-000134
CCI-000135
CCI-000159
CCI-001464
CCI-001487
CCI-001889
CCI-001890
CCI-001914
CCI-002130"
CCE-90855-8,audit_configure_capacity_notify,Configure Audit Capacity Warning,"The audit service _MUST_ be configured to notify the system administrator when the amount of free disk space remaining reaches an organization defined value. 

This rule ensures that the system administrator is notified in advance that action is required to free up more disk space for audit logs.
",Script,"/usr/bin/grep -c ""^minfree:25"" /etc/security/audit_control
",{'integer': 1},"[source,bash]
----
/usr/bin/sed -i.bak 's/.*minfree.*/minfree:25/' /etc/security/audit_control; /usr/sbin/audit -s 
----
",AU-5(1),,SRG-OS-000343-GPOS-00134,APPL-12-001030,CCI-001855
CCE-91088-5,audit_control_acls_configure,Configure Audit_Control to Not Contain Access Control Lists,"/etc/security/audit_control _MUST_ not contain Access Control Lists (ACLs).
",Script,"/bin/ls -le /etc/security/audit_control | /usr/bin/awk '{print $1}' | /usr/bin/grep -c "":""
",{'integer': 0},"[source,bash]
----
/bin/chmod -N /etc/security/audit_control
----
",AU-9,,,,
CCE-91089-3,audit_control_group_configure,Configure Audit_Control Group to Wheel,"/etc/security/audit_control _MUST_ have the group set to wheel.
",Script,"/bin/ls -dn /etc/security/audit_control | /usr/bin/awk '{print $4}'
",{'integer': 0},"[source,bash]
----
/usr/bin/chgrp wheel /etc/security/audit_control
----
",AU-9,,,,
CCE-91090-1,audit_control_mode_configure,Configure Audit_Control Owner to Mode 440 or Less Permissive,"/etc/security/audit_control _MUST_ be configured so that it is readable only by the root user and group wheel.
",Script,"/bin/ls -l /etc/security/audit_control | awk '!/-r--r-----|current|total/{print $1}' | /usr/bin/wc -l | /usr/bin/xargs
",{'integer': 0},"[source,bash]
----
/bin/chmod 440 /etc/security/audit_control
----
",AU-9,,,,
CCE-91091-9,audit_control_owner_configure,Configure Audit_Control Owner to Root,"/etc/security/audit_control _MUST_ have the owner set to root.
",Script,"/bin/ls -dn /etc/security/audit_control | /usr/bin/awk '{print $3}'
",{'integer': 0},"[source,bash]
----
/usr/sbin/chown root /etc/security/audit_control
----
",AU-9,,,,
CCE-90857-4,audit_failure_halt,Configure System to Shut Down Upon Audit Failure,"The audit service _MUST_ be configured to shut down the computer if it is unable to audit system events. 

Once audit failure occurs, user and system activity are no longer recorded, and malicious activity could go undetected. Audit processing failures can occur due to software/hardware errors, failures in the audit capturing mechanisms, and audit storage capacity being reached or exceeded. 
",Script,"/usr/bin/awk -F':' '/^policy/ {print $NF}' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec 'ahlt' 
",{'integer': 1},"[source,bash]
----
/usr/bin/sed -i.bak 's/^policy.*/policy: ahlt,argv/' /etc/security/audit_control; /usr/sbin/audit -s
----
",AU-5,3.3.4,SRG-OS-000047-GPOS-00023,APPL-12-001010,CCI-000140
CCE-90858-2,audit_files_group_configure,Configure Audit Log Files Group to Wheel,"Audit log files _MUST_ have the group set to wheel.

The audit service _MUST_ be configured to create log files with the correct group ownership to prevent normal users from reading audit logs. 

Audit logs contain sensitive data about the system and users. If log files are set to be readable and writable only by system administrators, the risk is mitigated.
",Script,"/bin/ls -n $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{s+=$4} END {print s}'
",{'integer': 0},"[source,bash]
----
/usr/bin/chgrp -R wheel $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')/*
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,APPL-12-001014,CCI-000162
CCE-90859-0,audit_files_mode_configure,Configure Audit Log Files to Mode 440 or Less Permissive,"The audit service _MUST_ be configured to create log files that are readable only by the root user and group wheel. To achieve this, audit log files _MUST_ be configured to mode 440 or less permissive; thereby preventing normal users from reading, modifying or deleting audit logs. 
",Script,"/bin/ls -l $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '!/-r--r-----|current|total/{print $1}' | /usr/bin/wc -l | /usr/bin/tr -d ' '
",{'integer': 0},"[source,bash]
----
/bin/chmod 440 $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')/*
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,APPL-12-001016,CCI-000162
CCE-90860-8,audit_files_owner_configure,Configure Audit Log Files to be Owned by Root,"Audit log files _MUST_ be owned by root.

The audit service _MUST_ be configured to create log files with the correct ownership to prevent normal users from reading audit logs.

Audit logs contain sensitive data about the system and users. If log files are set to only be readable and writable by system administrators, the risk is mitigated.
",Script,"/bin/ls -n $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{s+=$3} END {print s}'  
",{'integer': 0},"[source,bash]
----
/usr/sbin/chown -R root $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')/*
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,APPL-12-001012,CCI-000162
CCE-90861-6,audit_flags_aa_configure,Configure System to Audit All Authorization and Authentication Events,"The auditing system _MUST_ be configured to flag authorization and authentication (aa) events.

Authentication events contain information about the identity of a user, server, or client. Authorization events contain information about permissions, rights, and rules. If audit records do not include aa events, it is difficult to identify incidents and to correlate incidents to subsequent events. 

Audit records can be generated from various components within the information system (e.g., via a module or policy filter).
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec 'aa'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*[^-]aa"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,aa/' /etc/security/audit_control; /usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
MA-4(1)
CM-5(1)","3.3.1
3.3.2","SRG-OS-000470-GPOS-00214
SRG-OS-000472-GPOS-00217
SRG-OS-000473-GPOS-00218
SRG-OS-000475-GPOS-00220",APPL-12-001044,CCI-000172
CCE-90862-4,audit_flags_ad_configure,Configure System to Audit All Administrative Action Events,"The auditing system _MUST_ be configured to flag administrative action (ad) events.

Administrative action events include changes made to the system (e.g. modifying authentication policies). If audit records do not include ad events, it is difficult to identify incidents and to correlate incidents to subsequent events. 

Audit records can be generated from various components within the information system (e.g., via a module or policy filter). 

The information system audits the execution of privileged functions.

NOTE: We recommend changing the line ""43127:AUE_MAC_SYSCALL:mac_syscall(2):ad"" to ""43127:AUE_MAC_SYSCALL:mac_syscall(2):zz"" in the file /etc/security/audit_event. This will prevent sandbox violations from being audited by the ad flag. 
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec 'ad'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*[^-]ad"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,ad/' /etc/security/audit_control; /usr/sbin/audit -s
----
","AC-2(12)
AC-6(9)
AU-12
AC-2(4)
AU-2
MA-4(1)
CM-5(1)","3.1.7
3.3.1
3.3.2","SRG-OS-000004-GPOS-00004
SRG-OS-000239-GPOS-00089
SRG-OS-000240-GPOS-00090
SRG-OS-000241-GPOS-00091
SRG-OS-000327-GPOS-00127
SRG-OS-000392-GPOS-00172
SRG-OS-000471-GPOS-00215
SRG-OS-000471-GPOS-00216
SRG-OS-000476-GPOS-00221
SRG-OS-000477-GPOS-00222",APPL-12-001001,"CCI-000018
CCI-000172
CCI-001403
CCI-001404
CCI-001405
CCI-002234
CCI-002884"
CCE-91092-7,audit_flags_configure,Configure Audit Flags,"The auditing system _MUST_ be configured with at least the minimal flags of fm, ad, -ex, aa, -fr, lo, and -fw.
",Script,"/usr/bin/sed -n 's/^flags://p' /etc/security/audit_control | /usr/bin/grep -ce 'fm,ad,\-ex,aa,\-fr,lo,\-fw'
",{'integer': 1},"[source,bash]
----
/usr/bin/sed -i '' 's/^flags:.*/flags:fm,ad,\-ex,aa,\-fr,lo,\-fw/' /etc/security/audit_control; /usr/sbin/audit -s
----

NOTE: NOTE: This fix will replace the contents of the flags: line in `/etc/security/audit_control`, if you have customized the flags, your changes may be overwritten.
","AC-2(12)
AU-12
AU-2
MA-4(1)
CM-5(1)",,,,
CCE-90863-2,audit_flags_ex_configure,Configure System to Audit All Failed Program Execution on the System,"The audit system _MUST_ be configured to record enforcement actions of access restrictions, including failed program execute (-ex) attempts.

Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using program execution restrictions (e.g., denying users access to execute certain processes). 

This configuration ensures that audit lists include events in which program execution has failed. 
Without auditing the enforcement of program execution, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-ex'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-ex"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-ex/' /etc/security/audit_control; /usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
CM-5(1)","3.3.1
3.3.2",,,
CCE-90864-0,audit_flags_fd_configure,Configure System to Audit All Deletions of Object Attributes,"The audit system _MUST_ be configured to record enforcement actions of attempts to delete file attributes (fd). 

***Enforcement actions are the methods or mechanisms used to prevent unauthorized changes to configuration settings. One common and effective enforcement action method is using access restrictions (i.e., denying modifications to a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions prevent attempts to delete a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fd'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-fd"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-fd/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)",,"SRG-OS-000064-GPOS-00033
SRG-OS-000365-GPOS-00152
SRG-OS-000458-GPOS-00203
SRG-OS-000461-GPOS-00205
SRG-OS-000463-GPOS-00207
SRG-OS-000465-GPOS-00209
SRG-OS-000466-GPOS-00210
SRG-OS-000467-GPOS-00211
SRG-OS-000468-GPOS-00212
SRG-OS-000474-GPOS-00219",APPL-12-001020,"CCI-000172
CCI-001814"
CCE-91086-9,audit_flags_fm_configure,Configure System to Audit All Changes of Object Attributes,"The audit system _MUST_ be configured to record enforcement actions of attempts to modify file attributes (fm). 

Enforcement actions are the methods or mechanisms used to prevent unauthorized changes to configuration settings. One common and effective enforcement action method is using access restrictions (i.e., modifications to a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions attempts to modify a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '^fm'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*fm"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,fm/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)",,"SRG-OS-000064-GPOS-00033
SRG-OS-000365-GPOS-00152
SRG-OS-000458-GPOS-00203
SRG-OS-000461-GPOS-00205
SRG-OS-000463-GPOS-00207
SRG-OS-000465-GPOS-00209
SRG-OS-000466-GPOS-00210
SRG-OS-000467-GPOS-00211
SRG-OS-000468-GPOS-00212
SRG-OS-000474-GPOS-00219",APPL-12-001020,"CCI-000172
CCI-001814"
CCE-90865-7,audit_flags_fm_failed_configure,Configure System to Audit All Failed Change of Object Attributes,"The audit system _MUST_ be configured to record enforcement actions of failed attempts to modify file attributes (-fm). 

Enforcement actions are the methods or mechanisms used to prevent unauthorized changes to configuration settings. One common and effective enforcement action method is using access restrictions (i.e., denying modifications to a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions prevent attempts to modify a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fm'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-fm"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-fm/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)","3.3.1
3.3.2
3.3.8",,,
CCE-90866-5,audit_flags_fr_configure,Configure System to Audit All Failed Read Actions on the System,"The audit system _MUST_ be configured to record enforcement actions of access restrictions, including failed file read (-fr) attempts. 

Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using access restrictions (e.g., denying access to a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions prevent attempts to read a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fr'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-fr"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-fr/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)","3.3.1
3.3.2
3.3.8","SRG-OS-000064-GPOS-00033
SRG-OS-000365-GPOS-00152
SRG-OS-000458-GPOS-00203
SRG-OS-000461-GPOS-00205
SRG-OS-000463-GPOS-00207
SRG-OS-000465-GPOS-00209
SRG-OS-000466-GPOS-00210
SRG-OS-000467-GPOS-00211
SRG-OS-000468-GPOS-00212
SRG-OS-000474-GPOS-00219",APPL-12-001020,"CCI-000172
CCI-001814"
CCE-90867-3,audit_flags_fw_configure,Configure System to Audit All Failed Write Actions on the System,"The audit system _MUST_ be configured to record enforcement actions of access restrictions, including failed file write (-fw) attempts.

Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using access restrictions (e.g., denying users access to edit a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions prevent attempts to change a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fw'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-fw"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-fw/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)","3.3.1
3.3.2
3.3.8","SRG-OS-000064-GPOS-00033
SRG-OS-000365-GPOS-00152
SRG-OS-000458-GPOS-00203
SRG-OS-000461-GPOS-00205
SRG-OS-000463-GPOS-00207
SRG-OS-000465-GPOS-00209
SRG-OS-000466-GPOS-00210
SRG-OS-000467-GPOS-00211
SRG-OS-000468-GPOS-00212
SRG-OS-000474-GPOS-00219",APPL-12-001020,CCI-000162
