Unnamed: 0,Last modified: 2012-03-13,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
CCE-2782-1,The required permissions for the directory %AllUsersProfile%\Application Data\Microsoft\Crypto\RSAHKLMKeys should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-713,,%AllUsersProfile%\Application Data\Microsoft\Crypto\RSAHKLMKeys,,,,,,,,,,,,
CCE-2676-5,The required permissions for the directory %AllUsersProfile%\Application Data\Microsoft\Dr Watson should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-387,,%AllUsersProfile%\Application Data\Microsoft\Dr Watson,,,,,,,,,,,,
CCE-1815-0,The required permissions for the directory %AllUsersProfile%\Application Data\Microsoft\Dr Watson\drwtsn32.log should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-527,,%AllUsersProfile%\Application Data\Microsoft\Dr Watson\drwtsn32.log,,,,,,,,,,,,
CCE-2728-4,The required permissions for the directory %AllUsersProfile%\Application Data\Microsoft\HTML Help should be assigned.  ,"(1) set of accounts 
(2)  list of permissions 
(3)  applicability",(1) defined by the object's DACL  ,,CCE-686,,%AllUsersProfile%\Application Data\Microsoft\HTML Help,,,,,,,,,,,,
CCE-2763-1,The required permissions for the directory %AllUsersProfile%\Application Data\Microsoft\MediaIndex should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-3,,%AllUsersProfile%\Application Data\Microsoft\Media Index,,,,,,,,,,,,
CCE-2768-0,The required permissions for the directory %AllUsersProfile%\Documents\desktop.ini should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-356,,%AllUsersProfile%\Documents\desktop.ini,,,,,,,,,,,,
CCE-2561-9,The required permissions for the directory %AllUsersProfile%\DRM should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-85,,%AllUsersProfile%\DRM,,,,,,,,,,,,
CCE-2706-0,The required permissions for the directory %ProgramFiles% should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-24,,%ProgramFiles%,,,,,,,,,,,,
CCE-2085-9,The required permissions for the directory %SystemDrive% should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-411,System Drive ACL (CID:2000),%SystemDrive%,4.4.1.1 %SystemDrive%,,,,,,,,,,,
CCE-2702-9,The required permissions for the file %SystemDrive%\AUTOEXEC.BAT should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-816,,%SystemDrive%\autoexec.bat,,,,,,,,,,,,
CCE-2623-7,The required permissions for the file %SystemDrive%\CONFIG.SYS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-987,,%SystemDrive%\config.sys,,,,,,,,,,,,
CCE-2565-0,The required permissions for the file %SystemDrive%\Documents and Settings should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-419,,%SystemDrive%\Documents and Settings,,,,,,,,,,,,
CCE-2115-4,The required permissions for the directory %SystemDrive%\Documents and Settings\Administrator should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-120,,%SystemDrive%\Documents and Settings\Administrator,,,,,,,,,,,,
CCE-2741-7,The required permissions for the directory %SystemDrive%\Documents and Settings\Default User should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-714,,%SystemDrive%\Documents and Settings\Default User,,,,,,,,,,,,
CCE-2745-8,The required permissions for the file %SystemDrive%\IO.SYS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-540,,%SystemDrive%\io.sys,,,,,,,,,,,,
CCE-2287-1,The required permissions for the file %SystemDrive%\MSDOS.SYS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-602,,%SystemDrive%\msdos.sys,,,,,,,,,,,,
CCE-2798-7,The required permissions for the file %SystemDrive%\NTBOOTDD.SYS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-399,,%SystemDrive%\ntbootdd.sys,,,,,,,,,,,,
CCE-2578-3,The required permissions for the file %SystemDrive%\NTDETECT.COM should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-192,,%SystemDrive%\ntdetect.com,,,,,,,,,,,,
CCE-2234-3,The required permissions for the file %SystemDrive%\NTLDR should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-561,,%SystemDrive%\ntldr,,,,,,,,,,,,
CCE-2750-8,The required permissions for the file %SystemDrive%\System Volume Information should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-971,,%SystemDrive%\System Volume Information,,,,,,,,,,,,
CCE-2160-0,The required permissions for the directory %SystemRoot% should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-645,,%SystemRoot%,,,,,,,,,,,,
CCE-2475-2,The required permissions for the directory %SystemRoot%\Driver Cache\I386\Driver.cab should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-579,Driver.cab ACL (CID:4083),,,,,,,,,,,,,
CCE-2387-9,The required permissions for the directory %SystemRoot%\$NtServicePackUninstall$ should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-505,,%SystemRoot%\$NtServicePackUninstall$,,,,,,,,,,,,
CCE-2647-6,The required permissions for the directory %SystemRoot%\CSC should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-134,,%SystemRoot%\CSC,,,,,,,,,,,,
CCE-2418-2,The required permissions for the directory %SystemRoot%\Debug should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-293,,%SystemRoot%\Debug,,,,,,,,,,,,
CCE-2329-1,The required permissions for the directory %SystemRoot%\Debug\UserMode should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-94,,%SystemRoot%\Debug\UserMode,,,,,,,,,,,,
CCE-2105-5,The required permissions for the directory %SystemRoot%\Debug\UserMode\userenv.log should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-152,,%SystemRoot%\Debug\UserMode\userenv.log,,,,,,,,,,,,
CCE-2752-4,The required permissions for the file %SystemRoot%\Installer should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-482,,%SystemRoot%\Installer,,,,,,,,,,,,
CCE-2757-3,The required permissions for the file %SystemRoot%\Offline Web Pages should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-147,,%SystemRoot%\Offline Web Pages,,,,,,,,,,,,
CCE-2264-0,The required permissions for the file %SystemRoot%\Prefetch should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-737,,%SystemRoot%\Prefetch,,,,,,,,,,,,
CCE-2175-8,The required permissions for the file %SystemRoot%\regedit.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-795,regedit.exe ACL (CID:2001),%SystemRoot%\regedit.exe,4.4.1.17 %SystemRoot%\regedit.exe,,,%SystemRoot%\system32\regedit.exe Table: 9.19 Value: Administrators: Full System: Full,regedit.exePermissions,oval:gov.nist.1:def:146,regedit.exePermissions,oval:gov.nist.fdcc.xp:def:146,,,,
CCE-2325-9,The required permissions for the directory %SystemRoot%\Registration should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-155,,%SystemRoot%\Registration,,,,,,,,,,,,
CCE-1833-3,The required permissions for the directory %SystemRoot%\Registration\CRMLog should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-323,,%SystemRoot%\Registration\CRMLog,,,,,,,,,,,,
CCE-2805-0,The required permissions for the directory %SystemRoot%\repair should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-873,,%SystemRoot%\repair,,,,,,,,,,,,
CCE-2739-1,The required permissions for the directory %SystemRoot%\security should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-67,,%SystemRoot%\security,,,,,,,,,,,,
CCE-2638-5,The required permissions for the directory %SystemRoot%\Temp should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-380,,%SystemRoot%\Temp,,,,,,,,,,,,
CCE-2660-9,The required permissions for the directory %SystemRoot%\System32 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-45,,%SystemRoot%\system32,,,,,,,,,,,,
CCE-2052-9,The required permissions for the directory %SystemRoot%\System32\arp.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-600,arp.exe ACL (CID:2002),%SystemRoot%\system32\arp.exe,,,,%SystemRoot%\system32\arp.exe Table: 9.1 Value: Administrators: Full System: Full,arp.exePermissions,oval:gov.nist.1:def:128,arp.exePermissions,oval:gov.nist.fdcc.xp:def:128,,,,
CCE-2184-0,The required permissions for the file %SystemRoot%\System32\at.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-393,at.exe ACL (CID:2003),%SystemRoot%\system32\at.exe,4.4.1.2 %SystemRoot%\system32\at.exe,,,%SystemRoot%\system32\at.exe Table: 9.2 Value: Administrators: Full System: Full,at.exePermissions,oval:gov.nist.1:def:129,at.exePermissions,oval:gov.nist.fdcc.xp:def:129,,,,
CCE-2312-7,The required permissions for the file %SystemRoot%\System32\attrib.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-166,attrib.exe ACL (CID:2004),,4.4.1.3 %SystemRoot%\system32\attrib.exe,,,%SystemRoot%\system32\attrib.exe Table: 9.3 Value: Administrators: Full System: Full,attrib.exePermissions,oval:gov.nist.1:def:130,attrib.exePermissions,oval:gov.nist.fdcc.xp:def:130,,,,
CCE-2726-8,The required permissions for the file %SystemRoot%\System32\cacls.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-977,cacls.exe ACL (CID:2005),,4.4.1.4 %SystemRoot%\system32\cacls.exe,,,%SystemRoot%\System32\cacls.exe Table: 9.4 Value: Administrators: Full System: Full,cacls.exePermissions,oval:gov.nist.1:def:131,cacls.exePermissions,oval:gov.nist.fdcc.xp:def:131,,,,
CCE-2250-9,The required permissions for the file %SystemRoot%\System32\ciadv.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-272,,%SystemRoot%\system32\ciadv.msc,,,,,,,,,,,,
CCE-1924-0,The required permissions for the file %SystemRoot%\System32\Com\comexp.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-994,,%SystemRoot%\system32\Com\comexp.msc,,,,,,,,,,,,
CCE-2598-1,The required permissions for the file %SystemRoot%\System32\compmgmt.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-170,,%SystemRoot%\system32\compmgmt.msc,,,,,,,,,,,,
CCE-1842-4,The required permissions for the file %SystemRoot%\System32\CONFIG should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-197,,%SystemRoot%\system32\config,,,,,,,,,,,,
CCE-1846-5,The required permissions for the file %SystemRoot%\System32\CONFIG\AppEvent.evt should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-765,Eventlog ACL (CID:225),,,,,,,,,,,,,
CCE-2800-1,The required permissions for the file %SystemRoot%\System32\CONFIG\*.evt should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-334,debug.exe ACL (CID:2006),,4.4.1.5 %SystemRoot%\system32\debug.exe,,,,,,,,,,,
CCE-2699-7,The required permissions for the file %SystemRoot%\System32\debug.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-201,,%SystemRoot%\system32\devmgmt.msc,,,,%SystemRoot%\System32\debug.exe Table: 9.5 Value: Administrators: Full System: Full,oval:gov.nist.1:def:132,debug.exePermissions,debug.exePermissions,oval:gov.nist.fdcc.xp:def:132,,,,
CCE-2844-9,The required permissions for the file %SystemRoot%\System32\devmgmt.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-386,,%SystemRoot%\system32\dfrg.msc,,,,,,,,,,,,
CCE-2109-7,The required permissions for the file %SystemRoot%\System32\dfrg.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-941,,%SystemRoot%\system32\diskmgmt.msc,,,,,,,,,,,,
CCE-2514-8,The required permissions for the file %SystemRoot%\System32\diskmgmt.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-981,,%SystemRoot%\system32\dllcache,,,,,,,,,,,,
CCE-1863-0,The required permissions for the directory %SystemRoot%\System32\dllcache should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-350,,,4.4.1.6 %SystemRoot%\system32\drwatson.exe,,,,,,,,,,,
CCE-2760-7,The required permissions for the file %SystemRoot%\System32\drwatson.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-403,,,4.4.1.7 %SystemRoot%\system32\drwtsn32.exe,,,,,,,,,,,
CCE-2425-7,The required permissions for the file %SystemRoot%\System32\drwtsn32.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-972,edlin.exe ACL (CID:2007),,4.4.1.8 %SystemRoot%\system32\edlin.exe,,,,,,,,,,,
CCE-1909-1,The required permissions for the file %SystemRoot%\System32\edlin.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-20,eventcreate.exe ACL (CID:2008),,4.4.1.9 %SystemRoot%\system32\eventcreate.exe,,,%SystemRoot%\system32\edlin.exe Table: 9.6 Value: Administrators: Full System: Full,edlin.exePermissions,oval:gov.nist.1:def:133,edlin.exePermissions,oval:gov.nist.fdcc.xp:def:133,,,,
CCE-2145-1,The required permissions for the file %SystemRoot%\System32\eventcreate.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-489,eventtriggers.exe ACL (CID:2009),,4.4.1.10 %SystemRoot%\system32\eventtriggers.exe,,,%SystemRoot%\system32\eventcreate.exe Table: 9.7 Value: Administrators: Full System: Full,eventcreate.exePermissions,oval:gov.nist.1:def:134,eventcreate.exePermissions,oval:gov.nist.fdcc.xp:def:134,,,,
CCE-2436-4,The required permissions for the file %SystemRoot%\System32\eventtriggers.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-917,,%SystemRoot%\system32\eventvwr.msc,,,,%SystemRoot%\System32\eventtriggers.exe Table: 9.8 Value: 9.8,eventtriggers.exePermissions,oval:gov.nist.1:def:135,eventtriggers.exePermissions,oval:gov.nist.fdcc.xp:def:135,,,,
CCE-2704-5,The required permissions for the file %SystemRoot%\System32\eventvwr.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-846,,%SystemRoot%\system32\fsmgmt.msc,,,,,,,,,,,,
CCE-2334-1,The required permissions for the file %SystemRoot%\System32\fsmgmt.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-529,ftp.exe ACL (CID:2010),,4.4.1.11 %SystemRoot%\system32\ftp.exe,,,,,,,,,,,
CCE-2229-3,The required permissions for the file %SystemRoot%\System32\ftp.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-264,,%SystemRoot%\system32\gpedit.msc,,,, %SystemRoot%\system32\ftp.exe Table: 9.9 Value: Administrators: Full System: Full,ftp.exePermissions,oval:gov.nist.1:def:136,,,,,,
CCE-2621-1,The required permissions for the file %SystemRoot%\System32\gpedit.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-819,,%SystemRoot%\system32\Group Policy,,,,,,,,,,,,
CCE-2876-1,The required permissions for the directory %SystemRoot%\System32\GroupPolicy should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-789,,%SystemRoot%\system32\ias,,,,,,,,,,,,
CCE-2813-4,The required permissions for the directory %SystemRoot%\System32\ias should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-894,,%SystemRoot%\system32\lusrmgr.msg,,,,,,,,,,,,
CCE-2597-3,The required permissions for the directory %SystemRoot%\System32\lusrmgr.msg should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-198,,%SystemRoot%\system32\MSDTC,,,,,,,,,,,,
CCE-2747-4,The required permissions for the directory %SystemRoot%\System32\MSDTC should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-634,,%SystemRoot%\system32\nbstat.exe,,,,,,,,,,,,
CCE-2139-4,The required permissions for the file %SystemRoot%\System32\nbstat.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-550,nbtstat.exe ACL (CID:2011),,,,, %SystemRoot%\system32\nbtstat.exe Table: 9.10 Value: Administrators: Full System: Full,nbtstat.exePermissions,oval:gov.nist.1:def:137,,,,,,
CCE-2178-2,The required permissions for the file %SystemRoot%\System32\net.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-731,net.exe ACL (CID:2012),,4.4.1.12 %SystemRoot%\system32\net.exe,,, %SystemRoot%\system32\net.exe Table: 9.11 Value: Administrators: Full System: Full,net.exePermissions,oval:gov.nist.1:def:138,net.exePermissions,oval:gov.nist.fdcc.xp:def:138,,,,
CCE-2672-4,The required permissions for the file %SystemRoot%\System32\net1.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-607,net1.exe ACL (CID:2013),,4.4.1.13 %SystemRoot%\system32\net1.exe,,, %SystemRoot%\system32\net1.exe Table: 9.12 Value: Administrators: Full System: Full,net1.exePermissions,oval:gov.nist.1:def:139,net1.exePermissions,oval:gov.nist.fdcc.xp:def:139,,,,
CCE-1916-6,The required permissions for the file %SystemRoot%\System32\netsh.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-158,netsh.exe ACL (CID:2014),%SystemRoot%\system32\netsh.exe,4.4.1.14 %SystemRoot%\system32\netsh.exe,,, %SystemRoot%\system32\netsh.exe Table: 9.13 Value: Administrators: Full System: Full,netsh.exePermissions,oval:gov.nist.1:def:140,netsh.exePermissions,oval:gov.nist.fdcc.xp:def:140,,,,
CCE-2732-6,The required permissions for the file %SystemRoot%\System32\netstat.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-220,netstat.exe ACL (CID:2015),%SystemRoot%\system32\netstat.exe,,,, %SystemRoot%\system32\netstat.exe Table: 9.14 Value: Administrators: Full System: Full,netstat.exePermissions,oval:gov.nist.1:def:141,,,,,,
CCE-2613-8,The required permissions for the file %SystemRoot%\System32\nslookup.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-242,nslookup.exe ACL (CID:2016),%SystemRoot%\system32\nslookup.exe,,,, %SystemRoot%\system32\nslookup.exe Table: 9.15 Value: Administrators: Full System: Full,nslookup.exePermissions,oval:gov.nist.1:def:142,,,,,,
CCE-2903-3,The required permissions for the file %SystemRoot%\System32\Ntbackup.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-821,ntbackup.exe ACL (CID:2017),%SystemRoot%\system32\Ntbackup.exe,,,, %SystemRoot%\system32\Ntbackup.exe Table: 9.16 Value: Administrators: Full System: Full,ntbackup.exePermissions,oval:gov.nist.1:def:143,,,,,,
CCE-1925-7,The required permissions for the directory %SystemRoot%\System32\NTMSData should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-486,,%SystemRoot%\system32\NTMSData,,,,,,,,,,,,
CCE-2727-6,The required permissions for the file %SystemRoot%\System32\ntmsoprq.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-548,,%SystemRoot%\system32\ntmsoprq.msc,,,,,,,,,,,,
CCE-2749-0,The required permissions for the file %SystemRoot%\System32\ntmsmgr.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-715,,%SystemRoot%\system32\ntmsmgr.msc,,,,,,,,,,,,
CCE-2912-4,The required permissions for the file %SystemRoot%\System32\perfmon.msc should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-151,,%SystemRoot%\system32\perfmon.msc,,,,,,,,,,,,
CCE-2784-7,The required permissions for the file %SystemRoot%\System32\Rcp.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-997,rcp.exe ACL (CID:2018),%SystemRoot%\system32\rcp.exe,4.4.1.15 %SystemRoot%\system32\rcp.exe,,, %SystemRoot%\system32\rcp.exe Table: 9.17 Value: Administrators: Full System: Full,rcp.exePermissions,oval:gov.nist.1:def:144,rcp.exePermissions,oval:gov.nist.fdcc.xp:def:144,,,,
CCE-2220-2,The required permissions for the file %SystemRoot%\System32\reg.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-547,reg.exe ACL (CID:2019),%SystemRoot%\system32\reg.exe,4.4.1.16 %SystemRoot%\system32\reg.exe,,, %SystemRoot%\system32\reg.exe Table: 9.18 Value: Administrators: Full System: Full,reg.exePermissions,oval:gov.nist.1:def:145,reg.exePermissions,oval:gov.nist.fdcc.xp:def:145,,,,
