CCE ID v5,CCE Title,USGCB Setting,Technical Mechanism,Configuration Details,Rationale,Impact,800-53 Mapping,National Information Assurance Partnership Operating System Protection Profile,Center for Internet Security,Defense Information Systems Agency Security Security Requirements Guide,Configuration Group
CCE-80520-0,Configure Smart Card Certificate Status Checking,ocsp_on,via /etc/pam_pkcs11/pam_pkcs11.conf,"Configure the operating system to do certificate status checking for PKI
authentication. Modify all of the cert_policy lines in
/etc/pam_pkcs11/pam_pkcs11.conf to include ocsp_on like so:
cert_policy = ca, ocsp_on, signature;","Using an authentication device, such as a CAC or token that is separate from
the information system, ensures that even if the information system is
compromised, that compromise will not affect credentials stored on the
authentication device.

Multifactor solutions that require devices separate from
information systems gaining access include, for example, hardware tokens
providing time-based or challenge-response authenticators and smart cards such
as the U.S. Government Personal Identity Verification card and the DoD Common
Access Card.",medium,,,,"SRG-OS-000375-GPOS-00160,SRG-OS-000376-GPOS-00161,SRG-OS-000377-GPOS-00162,SRG-OS-000384-GPOS-00167",Hardware Tokens for Authentication
CCE-81002-8,Force opensc To Use Defined Smart Card Driver,True,via /etc/opensc-ARCH.conf,"The OpenSC smart card tool can auto-detect smart card drivers; however by
forcing the smart card driver in use by your organization, opensc will no longer
autodetect or use other drivers unless specified. This helps to prevent
users from using unauthorized smart cards. The default smart card driver for this
profile is .
To force the OpenSC driver, edit the /etc/opensc-ARCH.conf (where
ARCH is the architecture of your operating system) file. Look for a line
similar to:
# force_card_driver = customcos;
and change it to:
force_card_driver = ;","Smart card login provides two-factor authentication stronger than
that provided by a username and password combination. Smart cards leverage PKI
(public key infrastructure) in order to provide and verify credentials.
Forcing the smart card driver in use by your organization helps to prevent
users from using unauthorized smart cards.",medium,"CM-6(a),IA-2(1),IA-2(11),IA-2(2),IA-2(3),IA-2(4),IA-2(6),IA-2(7)",,,"SRG-OS-000104-GPOS-00051,SRG-OS-000106-GPOS-00053,SRG-OS-000107-GPOS-00054,SRG-OS-000108-GPOS-00055,SRG-OS-000108-GPOS-00057,SRG-OS-000108-GPOS-00058,SRG-OS-000109-GPOS-00056",Hardware Tokens for Authentication
CCE-80565-5,Configure opensc Smart Card Drivers,cac,via /etc/opensc-ARCH.conf,"The OpenSC smart card tool can auto-detect smart card drivers; however,
setting the smart card drivers in use by your organization helps to prevent
users from using unauthorized smart cards. The default smart card driver for this
profile is .
To configure the OpenSC driver, edit the /etc/opensc-ARCH.conf (where
ARCH is the architecture of your operating system) file. Look for a
line similar to:
# card_drivers = old, internal;
and change it to:
card_drivers = ;","Smart card login provides two-factor authentication stronger than
that provided by a username and password combination. Smart cards leverage PKI
(public key infrastructure) in order to provide and verify credentials.
Configuring the smart card driver in use by your organization helps to prevent
users from using unauthorized smart cards.",medium,"CM-6(a),IA-2(1),IA-2(11),IA-2(2),IA-2(3),IA-2(4),IA-2(6),IA-2(7)",,,"SRG-OS-000104-GPOS-00051,SRG-OS-000106-GPOS-00053,SRG-OS-000107-GPOS-00054,SRG-OS-000108-GPOS-00055,SRG-OS-000108-GPOS-00057,SRG-OS-000108-GPOS-00058,SRG-OS-000109-GPOS-00056",Hardware Tokens for Authentication
CCE-80207-4,Enable Smart Card Login,enable manually,via authconfig,"To enable smart card authentication, consult the documentation at:
https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/7/html/System-Level_Authentication_Guide/smartcards.html#authconfig-smartcards


For guidance on enabling SSH to authenticate against a Common Access Card (CAC), consult documentation at:
https://access.redhat.com/solutions/82273","Smart card login provides two-factor authentication stronger than
that provided by a username and password combination. Smart cards leverage PKI
(public key infrastructure) in order to provide and verify credentials.",medium,"CM-6(a),IA-2(1),IA-2(11),IA-2(2),IA-2(3),IA-2(4),IA-2(6),IA-2(7)",,,"SRG-OS-000104-GPOS-00051,SRG-OS-000106-GPOS-00053,SRG-OS-000107-GPOS-00054,SRG-OS-000108-GPOS-00055,SRG-OS-000108-GPOS-00057,SRG-OS-000108-GPOS-00058,SRG-OS-000109-GPOS-00056,SRG-OS-000376-GPOS-00161,SRG-OS-000377-GPOS-00162",Hardware Tokens for Authentication
CCE-27351-6,Install the screen Package,install,via yum,"To enable console screen locking, install the screen package.
The screen package can be installed with the following command:

$ sudo yum install screen
Instruct users to begin new terminal sessions with the following command:
$ screen
The console can now be locked with the following key combination:
ctrl+a x","A session time-out lock is a temporary action taken when a user stops work and moves away from the immediate
physical vicinity of the information system but does not logout because of the temporary nature of the absence.
Rather than relying on the user to manually lock their operation system session prior to vacating the vicinity,
operating systems need to be able to identify when a user&#39;s session has idled and take action to initiate the
session lock.

The screen package allows for a session lock to be implemented and configured.",medium,CM-6(a),FMT_MOF_EXT.1,,SRG-OS-000029-GPOS-00010,Configure Console Screen Locking
CCE-80526-7,User Initialization Files Must Be Group-Owned By The Primary User,USER GID,via chgrp,"Change the group owner of interactive users files to the group found
in /etc/passwd for the user. To change the group owner of a local
interactive user home directory, use the following command:
$ sudo chgrp USER_GROUP /home/USER/.INIT_FILE","Local initialization files for interactive users are used to configure the
user&#39;s shell environment upon logon. Malicious modification of these files could
compromise accounts upon logon.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80201-7,Ensure that User Home Directories are not Group-Writable or World-Readable,750,via chmod,"For each human user of the system, view the
permissions of the user&#39;s home directory:
# ls -ld /home/USER
Ensure that the directory is not group-writable and that it
is not world-readable. If necessary, repair the permissions:
# chmod g-w /home/USER
# chmod o-rwx /home/USER","User home directories contain many configuration files which
affect the behavior of a user&#39;s account. No user should ever have
write permission to another user&#39;s home directory. Group shared
directories can be configured in sub-directories or elsewhere in the
filesystem if they are needed. Typically, user home directories
should not be world-readable, as it would disclose file names
to other users. If a subset of users need read access
to one another&#39;s home directories, this can be provided using
groups or ACLs.",medium,"AC-6(1),CM-6(a),CM-6(a)",,,,Secure Session Configuration Files for Login Accounts
CCE-80528-3,All Interactive Users Must Have A Home Directory Defined,True,via usermod,"Assign home directories to all interactive users that currently do not
have a home directory assigned.","If local interactive users are not assigned a valid home directory, there is no
place for the storage and control of files they should own.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80532-5,All Interactive User Home Directories Must Be Group-Owned By The Primary User,USER GID,via chgrp,"Change the group owner of interactive users home directory to the
group found in /etc/passwd. To change the group owner of
interactive users home directory, use the following command:
$ sudo chgrp USER_GROUP /home/USER","If the Group Identifier (GID) of a local interactive users home directory is
not the same as the primary GID of the user, this would allow unauthorized
access to the users files, and users that share the same group may not be
able to access files that they legitimately should.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80525-9,Ensure All User Initialization Files Have Mode 0740 Or Less Permissive,740,via chmod,"Set the mode of the user initialization files to 0740 with the
following command:
$ sudo chmod 0740 /home/USER/.INIT_FILE","Local initialization files are used to configure the user&#39;s shell environment
upon logon. Malicious modification of these files could compromise accounts upon
logon.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80531-7,All Interactive User Home Directories Must Be Owned By The Primary User,User UID,via chown,"Change the owner of interactive users home directories to that correct
owner. To change the owner of a interactive users home directory, use
the following command:
$ sudo chown USER /home/USER","If a local interactive user does not own their home directory, unauthorized
users could access or modify the user&#39;s files, and the users may not be able to
access their own files.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80534-1,All User Files and Directories In The Home Directory Must Be Group-Owned By The Primary User,USER GID,via chgrp,"Change the group of a local interactive users files and directories to a
group that the interactive user is a member of. To change the group owner of a
local interactive users files and directories, use the following command:
$ sudo chgrp USER_GROUP /home/USER/FILE_DIR","If a local interactive users files are group-owned by a group of which the
user is not a member, unintended users may be able to access them.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80434-4,Ensure Home Directories are Created for New Users,yes,via /etc/login.defs,"All local interactive user accounts, upon creation, should be assigned a home directory.

Configure the operating system to assign home directories to all new local interactive users by setting the CREATE_HOME
parameter in /etc/login.defs to yes as follows:

CREATE_HOME yes","If local interactive users are not assigned a valid home directory, there is no place
for the storage and control of files they should own.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80352-8,Ensure the Logon Failure Delay is Set Correctly in login.defs,3,via /etc/login.defs,"To ensure the logon failure delay controlled by /etc/login.defs is set properly,
add or correct the FAIL_DELAY setting in /etc/login.defs to read as follows:
FAIL_DELAY ","Increasing the time between a failed authentication attempt and re-prompting to
enter credentials helps to slow a single-threaded brute force attack.",medium,"AC-7(b),CM-6(a)",,,SRG-OS-000480-GPOS-00226,Secure Session Configuration Files for Login Accounts
CCE-80530-9,All Interactive User Home Directories Must Have mode 0750 Or Less Permissive,750,via chmod,"Change the mode of interactive users home directories to 0750. To
change the mode of interactive users home directory, use the
following command:
$ sudo chmod 0750 /home/USER","Excessive permissions on local interactive user home directories may allow
unauthorized access to user files by other users.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-82041-5,Limit the Number of Concurrent Login Sessions Allowed Per User,10,via /etc/security/limits.conf,"Limiting the number of allowed users and sessions per user can limit risks related to Denial of
Service attacks. This addresses concurrent sessions for a single account and does not address
concurrent sessions by a single user via multiple accounts. To set the number of concurrent
sessions per user add the following line in /etc/security/limits.conf or
a file under /etc/security/limits.d/:
* hard maxlogins ","Limiting simultaneous user logins can insulate the system from denial of service
problems caused by excessive logins. Automated login processes operating improperly or
maliciously may result in an exceptional number of simultaneous login sessions.",low,"AC-10,CM-6(a)",,,SRG-OS-000027-GPOS-00008,Secure Session Configuration Files for Login Accounts
CCE-80524-2,Ensure that Users Path Contains Only Local Directories,Verify,via PATH,"Ensure that all interactive user initialization files executable search
path statements do not contain statements that will reference a working
directory other than the users home directory.","The executable search path (typically the PATH environment variable) contains a
list of directories for the shell to search to find executables. If this path
includes the current working directory (other than the users home directory),
executables in these directories may be executed instead of system commands.
This variable is formatted as a colon-separated list of directories. If there is
an empty entry, such as a leading or trailing colon or two consecutive colons,
this is interpreted as the current working directory. If deviations from the
default system search path for the local interactive user are required, they
must be documented with the Information System Security Officer (ISSO).",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80529-1,All Interactive Users Home Directories Must Exist,USERNAME,via mkdir,"Create home directories to all interactive users that currently do not
have a home directory assigned. Use the following commands to create the user
home directory assigned in /etc/passwd:
$ sudo mkdir /home/USER","If a local interactive user has a home directory defined that does not exist,
the user may be given access to the / directory as the current working directory
upon logon. This could create a Denial of Service because the user would not be
able to access their logon configuration files, and it may give them visibility
to system files they normally would not be able to access.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80523-4,User Initialization Files Must Not Run World-Writable Programs,750,via chmod,"Set the mode on files being executed by the user initialization files with the
following command:
$ sudo chmod 0755 FILE","If user start-up files execute world-writable programs, especially in
unprotected directories, they could be maliciously modified to destroy user
files or otherwise compromise the system at the user level. If the system is
compromised at the user level, it is easier to elevate privileges to eventually
compromise the system at the root and network level.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80533-3,All User Files and Directories In The Home Directory Must Be Owned By The Primary User,User UID,via chown,"Change the owner of a interactive users files and directories to that
owner. To change the of a local interactive users files and
directories, use the following command:
$ sudo chown -R USER /home/USER","If local interactive users do not own the files in their directories,
unauthorized users may be able to access them. Additionally, if files are not
owned by the user, this could be an indication of system compromise.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80527-5,User Initialization Files Must Be Owned By the Primary User,User UID,via chown,"Set the owner of the user initialization files for interactive users to
the primary owner with the following command:
$ sudo chown USER /home/USER/.*","Local initialization files are used to configure the user&#39;s shell environment
upon logon. Malicious modification of these files could compromise accounts upon
logon.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-80535-8,All User Files and Directories In The Home Directory Must Have Mode 0750 Or Less Permissive,750,via chmod,"Set the mode on files and directories in the local interactive user home
directory with the following command:
$ sudo chmod 0750 /home/USER/FILE_DIR","If a local interactive user files have excessive permissions, unintended users
may be able to access or modify them.",medium,,,,SRG-OS-000480-GPOS-00227,Secure Session Configuration Files for Login Accounts
CCE-27557-8,Set Interactive Session Timeout,600,TMOUT,"Setting the TMOUT option in /etc/profile ensures that
all user sessions will terminate based on inactivity. The TMOUT
setting in /etc/profile should read as follows:
TMOUT=","Terminating an idle session within a short time period reduces
the window of opportunity for unauthorized personnel to take control of a
management session enabled on the console or console port that has been
left unattended.",medium,"AC-12,AC-2(5),CM-6(a),SC-10",FMT_MOF_EXT.1,,SRG-OS-000163-GPOS-00072,Secure Session Configuration Files for Login Accounts
CCE-80536-6,Ensure the Default Umask is Set Correctly For Interactive Users,remove,via rm,Remove the UMASK environment variable from all interactive users initialization files.,"The umask controls the default access mode assigned to newly created files. A
umask of 077 limits new files to mode 700 or less permissive. Although umask can
be represented as a four-digit number, the first digit representing special
access modes is typically ignored or required to be 0. This requirement
applies to the globally configured system defaults and the local interactive
user defaults for each account on the system.",medium,,,,SRG-OS-000480-GPOS-00227,Ensure that Users Have Sensible Umask Values
CCE-80204-1,Ensure the Default Umask is Set Correctly in /etc/profile,“077”,via UMASK,"To ensure the default umask controlled by /etc/profile is set properly,
add or correct the umask setting in /etc/profile to read as follows:
umask ","The umask value influences the permissions assigned to files when they are created.
A misconfigured umask value could result in files with excessive permissions that can be read or
written to by unauthorized users.",unknown,"AC-6(1),CM-6(a)",,5.4.4,SRG-OS-000480-GPOS-00228,Ensure that Users Have Sensible Umask Values
CCE-80202-5,Ensure the Default Bash Umask is Set Correctly,“077”,via UMASK,"To ensure the default umask for users of the Bash shell is set properly,
add or correct the umask setting in /etc/bashrc to read
as follows:
umask ","The umask value influences the permissions assigned to files when they are created.
A misconfigured umask value could result in files with excessive permissions that can be read or
written to by unauthorized users.",unknown,"AC-6(1),CM-6(a)",,5.4.4,SRG-OS-000480-GPOS-00228,Ensure that Users Have Sensible Umask Values
CCE-80205-8,Ensure the Default Umask is Set Correctly in login.defs,“077”,via UMASK,"To ensure the default umask controlled by /etc/login.defs is set properly,
add or correct the UMASK setting in /etc/login.defs to read as follows:
UMASK ","The umask value influences the permissions assigned to files when they are created.
A misconfigured umask value could result in files with excessive permissions that can be read and
written to by unauthorized users.",medium,"AC-6(1),CM-6(a)",,,SRG-OS-000480-GPOS-00228,Ensure that Users Have Sensible Umask Values
CCE-80203-3,Ensure the Default C Shell Umask is Set Correctly,“077”,via UMASK,"To ensure the default umask for users of the C shell is set properly,
add or correct the umask setting in /etc/csh.cshrc to read as follows:
umask ","The umask value influences the permissions assigned to files when they are created.
A misconfigured umask value could result in files with excessive permissions that can be read or
written to by unauthorized users.",unknown,"AC-6(1),CM-6(a)",,,SRG-OS-000480-GPOS-00228,Ensure that Users Have Sensible Umask Values
CCE-80199-3,Ensure that Root's Path Does Not Include Relative Paths or Null Directories,disable,via PATH,"Ensure that none of the directories in root&#39;s path is equal to a single
. character, or
that it contains any instances that lead to relative path traversal, such as
.. or beginning a path without the slash (/) character.
Also ensure that there are no &#34;empty&#34; elements in the path, such as in these examples:
PATH=:/bin
PATH=/bin:
PATH=/bin::/sbin
These empty elements have the same effect as a single . character.","Including these entries increases the risk that root could
execute code from an untrusted location.",unknown,"CM-6(a),CM-6(a)",,,,Ensure that No Dangerous Directories Exist in Root's Path
CCE-80200-9,Ensure that Root's Path Does Not Include World or Group-Writable Directories,go-w,via chmod,"For each element in root&#39;s path, run:
# ls -ld DIR
and ensure that write permissions are disabled for group and
other.","Such entries increase the risk that root could
execute code provided by unprivileged users,
and potentially malicious code.",medium,"CM-6(a),CM-6(a)",,,,Ensure that No Dangerous Directories Exist in Root's Path
CCE-27275-7,Ensure PAM Displays Last Logon/Access Notification,"pam_succeed_if.so service !~ gdm* service !~ su* quiet
session     [default=1]   pam_lastlog.so nowtmp showfailed
session     optional      pam_lastlog.so silent noupdate showfailed",via pam_lastlog,"To configure the system to notify users of last logon/access
using pam_lastlog, add or correct the pam_lastlog settings in
/etc/pam.d/postlogin to read as follows:
session     [success=1 default=ignore] pam_succeed_if.so service !~ gdm* service !~ su* quiet
session     [default=1]   pam_lastlog.so nowtmp showfailed
session     optional      pam_lastlog.so silent noupdate showfailed","Users need to be aware of activity that occurs regarding
their account. Providing users with information regarding the number
of unsuccessful attempts that were made to login to their account
allows the user to determine if any unauthorized activity has occurred
and gives them an opportunity to notify administrators.",low,"AC-9(1),CM-6(a)",,,SRG-OS-000480-GPOS-00227,Protect Accounts by Configuring PAM
CCE-27360-7,Ensure PAM Enforces Password Requirements - Minimum Special Characters,True,via /etc/security/pwquality.conf,"The pam_pwquality module&#39;s ocredit= parameter controls requirements for
usage of special (or &#34;other&#34;) characters in a password. When set to a negative number,
any password will be required to contain that many special characters.
When set to a positive number, pam_pwquality will grant +1
additional length credit for each special character. Modify the ocredit setting
in /etc/security/pwquality.conf to equal 
to require use of a special character in passwords.","Use of a complex password helps to increase the time and resources required
to compromise the password. Password complexity, or strength, is a measure of
the effectiveness of a password in resisting attempts at guessing and brute-force
attacks.

Password complexity is one factor of several that determines how long it takes
to crack a password. The more complex the password, the greater the number of
possble combinations that need to be tested before the password is compromised.
Requiring a minimum number of special characters makes password guessing attacks
more difficult by ensuring a larger search space.",medium,"CM-6(a),IA-5(1)(a),IA-5(4),IA-5(c)",FMT_MOF_EXT.1,,SRG-OS-000266-GPOS-00101,Set Password Quality Requirements with pam_pwquality
CCE-27345-8,Ensure PAM Enforces Password Requirements - Minimum Lowercase Characters,True,via /etc/security/pwquality.conf,"The pam_pwquality module&#39;s lcredit parameter controls requirements for
usage of lowercase letters in a password. When set to a negative number, any password will be required to
contain that many lowercase characters. When set to a positive number, pam_pwquality will grant +1 additional
length credit for each lowercase character. Modify the lcredit setting in
/etc/security/pwquality.conf to require the use of a lowercase character in passwords.","Use of a complex password helps to increase the time and resources required
to compromise the password. Password complexity, or strength, is a measure of
the effectiveness of a password in resisting attempts at guessing and brute-force
attacks.

Password complexity is one factor of several that determines how long it takes
to crack a password. The more complex the password, the greater the number of
possble combinations that need to be tested before the password is compromised.
Requiring a minimum number of lowercase characters makes password guessing attacks
more difficult by ensuring a larger search space.",medium,"CM-6(a),IA-5(1)(a),IA-5(4),IA-5(c)",FMT_MOF_EXT.1,,SRG-OS-000070-GPOS-00038,Set Password Quality Requirements with pam_pwquality
CCE-27160-1,Ensure PAM Enforces Password Requirements - Authentication Retry Prompts Permitted Per-Session,3,via /etc/security/pwquality.conf,"To configure the number of retry prompts that are permitted per-session:
Edit the pam_pwquality.so statement in /etc/pam.d/system-auth to
show retry=, or a lower value if
site policy is more restrictive.
The DoD requirement is a maximum of 3 prompts per session.","Setting the password retry prompts that are permitted on a per-session basis to a low value
requires some software, such as SSH, to re-connect. This can slow down and
draw additional attention to some types of password-guessing attacks. Note that this
is different from account lockout, which is provided by the pam_faillock module.",medium,"AC-7(a),CM-6(a),IA-5(4)",FMT_MOF_EXT.1,6.3.2,SRG-OS-000480-GPOS-00225,Set Password Quality Requirements with pam_pwquality
CCE-27512-3,Ensure PAM Enforces Password Requirements - Maximum Consecutive Repeating Characters from Same Character Class,4,via /etc/security/pwquality.conf,"The pam_pwquality module&#39;s maxclassrepeat parameter controls requirements for
consecutive repeating characters from the same character class. When set to a positive number, it will reject passwords
which contain more than that number of consecutive characters from the same character class. Modify the
maxclassrepeat setting in /etc/security/pwquality.conf to equal 
to prevent a run of ( + 1) or more identical characters.","Use of a complex password helps to increase the time and resources required to comrpomise the password.
Password complexity, or strength, is a measure of the effectiveness of a password in resisting
attempts at guessing and brute-force attacks.

Password complexity is one factor of several that determines how long it takes to crack a password. The
more complex a password, the greater the number of possible combinations that need to be tested before the
password is compromised.",medium,"CM-6(a),IA-5(1)(a),IA-5(4),IA-5(c)",,,SRG-OS-000072-GPOS-00040,Set Password Quality Requirements with pam_pwquality
