Unnamed: 0,Last modified: 2009-05-15,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
CCE-3505-5,The required permissions for the directory %SystemRoot%\CSC should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-134,4.4.1.20 %SystemRoot%\CSC – Administrators: Full; System: Full,CSC ACL,
CCE-3791-1,The required permissions for the directory %SystemRoot%\Debug should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-293,"4.4.1.21 %SystemRoot%\Debug - Administrators: Full; System: Full; Creator Owner: Full; Users: Read and Execute, List",Debug ACL,
CCE-3192-2,The required permissions for the directory %SystemRoot%\Debug\UserMode should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-94,"4.4.1.22 %SystemRoot%\Debug\UserMode - Administrators: Full; System: Full; Users: Traverse Folder/Execute File, Listfolder/Read data, Create files/Write data (This folder, only); Create files/Write data, Create folders/Append data(Files only)",UserMode Directory ACL,
CCE-3836-4,The required permissions for the file %SystemRoot%\regedit.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-795,4.4.1.31 %SystemRoot%\regedit.exe – Administrators: Full; System: Full,regedit.exe ACL,
CCE-3091-6,The required permissions for the directory %SystemDrive%\NTDS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-248,?,NTDS ACL,
CCE-3862-0,The required permissions for the directory %SystemRoot%\Offline Web Pages should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-398,4.4.1.23 %SystemRoot%\Offline Web Pages – Ignore Parent Permission Changes,,
CCE-3867-9,The required permissions for the directory %SystemRoot%\Registration should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-155,4.4.1.24 %SystemRoot%\Registration - Administrators: Full; System: Full; Users: Read,Registration ACL,
CCE-3404-1,The required permissions for the directory %SystemRoot%\repair should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-873,4.4.1.25 %SystemRoot%\repair - Administrators: Full; System: Full,Repair ACL,
CCE-3052-8,The required permissions for the directory %SystemRoot%\security should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-67,4.4.1.26 %SystemRoot%\security - Administrators: Full; System: Full; Creator Owner: Full,Security ACL,
CCE-3879-4,The required permissions for the directory %SystemRoot%\SYSVOL  should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-979,?,SYSVOL ACL,
CCE-3544-4,The required permissions for the directory %SystemRoot%\SYSVOL\domain\Policies should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-701,?,%SystemRoot%\SYSVOL\domain\Policies,
CCE-3408-2,The required permissions for the directory %SystemRoot%\Temp should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-380,?,Temp ACL,
CCE-3800-0,The required permissions for the directory %SystemRoot%\System32 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-45,"4.4.1.27 %SystemRoot%\system32 - Administrators: Full; System: Full; Creator Owner: Full; Users: Read and Execute, List",System32 ACL,
CCE-3571-7,The required permissions for the directory %SystemRoot%\System32\arp.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-600,"4.4.1.36 %SystemRoot%\system32\appmgmt – Administrators: Full; System: Full; Users: Read and Execute, List",appmgmt ACL,
CCE-3712-7,The required permissions for the file %SystemRoot%\System32\at.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-393,4.4.1.28 %SystemRoot%\system32\at.exe – Administrators: Full; System: Full,at.exe ACL,
CCE-3716-8,The required permissions for the file %SystemRoot%\System32\CONFIG should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-197,4.4.1.37 %SystemRoot%\system32\config – Administrators: Full; System: Full,CONFIG ACL,
CCE-3734-1,The required permissions for the file %SystemRoot%\System32\CONFIG\AppEvent.evt should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-765,?,%SystemRoot%\System32\CONFIG\AppEvent.evt,
CCE-3641-8,The required permissions for the file %SystemRoot%\System32\CONFIG\*.evt should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-334,?,%SystemRoot%\System32\CONFIG\SecEvent.evt,
CCE-3540-2,The required permissions for the directory %SystemRoot%\System32\dllcache should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-350,4.4.1.38 %SystemRoot%\system32\dllcache – Administrators: Full; System: Full; Creator Owner: Full,dllcache ACL,
CCE-3831-5,The required permissions for the directory %SystemRoot%\System32\DTCLog should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-361,"4.4.1.39 %SystemRoot%\system32\DTCLog - Administrators: Full; System: Full; Creator Owner: Full; Users: Read andExecute, List",,
CCE-3745-7,The required permissions for the directory %SystemRoot%\System32\GroupPolicy should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-789,"4.4.1.40 %SystemRoot%\system32\Group Policy - Administrators: Full; System: Full; Authenticated Users: Read andExecute, List",GroupPolicy ACL,
CCE-3890-1,The required permissions for the directory %SystemRoot%\System32\ias should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-894,4.4.1.41 %SystemRoot%\system32\ias - Administrators: Full; System: Full; Creator Owner: Full,ias ACL,
CCE-3784-6,The required permissions for the file %SystemRoot%\System32\Ntbackup.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-821,4.4.1.29 %SystemRoot%\system32\Ntbackup.exe – Administrators: Full; System: Full,NTbackup.exe ACL,
CCE-3793-7,The required permissions for the directory %SystemRoot%\System32\NTMSData should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-486,4.4.1.42 %SystemRoot%\system32\NTMSData – Administrators: Full; System: Full,NTMSData ACL,
CCE-3815-8,The required permissions for the file %SystemRoot%\System32\Rcp.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-997,4.4.1.30 %SystemRoot%\system32\rcp.exe – Administrators: Full; System: Full,Rcp.exe ACL,
CCE-3824-0,The required permissions for the file %SystemRoot%\System32\Regedt32.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-865,4.4.1.32 %SystemRoot%\system32\regedt32.exe – Administrators: Full; System: Full,Regedt32.exe ACL,
CCE-3595-6,The required permissions for the directory %SystemRoot%\system32\ReinstallBackups should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-89,"4.4.1.43 %SystemRoot%\system32\reinstallbackups – Administrators: Full; System: Full; Creator Owner: Full; PowerUsers: Read and Execute, List",,
CCE-3516-2,The required permissions for the file %SystemRoot%\System32\Rexec.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-274,4.4.1.33 %SystemRoot%\system32\rexec.exe – Administrators: Full; System: Full,Rexec.exe ACL,
CCE-3520-4,The required permissions for the file %SystemRoot%\System32\Rsh.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-353,4.4.1.34 %SystemRoot%\system32\rsh.exe – Administrators: Full; System: Full,Rsh.exe ACL,
CCE-3776-2,The required permissions for the file %SystemRoot%\System32\Secedit.exe should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-922,4.4.1.35 %SystemRoot%\system32\secedit.exe – Administrators: Full; System: Full,?,
CCE-3670-7,The required permissions for the directory %SystemRoot%\System32\Setup should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-587,"4.4.1.44 %SystemRoot%\system32\Setup – Administrators: Full; System: Full; Users: Read and Execute, List",Setup ACL,
CCE-3340-7,The required permissions for the directory %SystemRoot%\System32\repl should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-326,?,repl ACL,
CCE-3780-4,The required permissions for the directory %SystemRoot%\System32\repl\export should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-357,?,Export ACL,
CCE-3423-1,The required permissions for the directory %SystemRoot%\System32\repl\import should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-291,?,Import ACL,
CCE-3802-6,The required permissions for the directory %SystemRoot%\System32\spool\Printers should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-692,"4.4.1.45 %SystemRoot%\system32\spool\printers – Administrators: Full; System: Full; Creator Owner: Full; Users:Traverse Folder, Execute File, Read, Read Extended Attributes, Create folders, Append Data",Spool\Printers ACL,
CCE-3079-1,The required permissions for the directory %SystemRoot%\Tasks should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-322,4.4.1.46 %SystemRoot%\Tasks - (Do not allow permissions on this folder to be replaced),?,
CCE-3727-5,The required permissions for the directory %ALL%\Program Files\MQSeries should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-864,?,MQSeries ACL,
CCE-3493-4,The required permissions for the directory %ALL%\Program Files\MQSeries\qmggr should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-364,?,MQSeries Queue ACL,
CCE-3872-9,The required permissions for the directory %SystemDrive%\Documents and Settings\All Users\Application Data\Microsoft\HTML Help ACL should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-46,,269,
CCE-3656-6,The required permissions for the directory %SystemDrive%\WINNT\SECURITY\Database\SECEDIT.SDB ACL should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-447,,SECEDIT.SDB ACL,
CCE-2929-8,The required permissions for the registry key HKEY_CLASSES_ROOT should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-760,?,Registry ACL Check CLASSES_ROOT,
CCE-3308-4,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-279,4.4.2.2 HKLM\Software – Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check Software,
CCE-3723-4,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Classes should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-843,4.4.2.1 HKLM\Software\Classes - Administrators: Full; System: Full; Creator Owner: Full; Users: Read,?,
CCE-3868-7,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Classes\Regfile\Shell\Open\Command should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-253,?,\SOFTWARE\Classes\Regfile\Shell\Open\Command ,
CCE-3563-4,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NetDDE should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-394,4.4.2.3 HKLM\Software\Microsoft\Net DDE – Administrators: Full; System: Full,Reg ACL NetDDE Check test,
CCE-3691-3,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\OS/2 Subsystem for NT should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-240,4.4.2.4 HKLM\Software\Microsoft\OS/2 Subsystem for NT – Administrators: Full; System: Full; Creator Owner: Full,Reg ACL OS2 Check test,
CCE-3735-8,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Asr\Commands should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-618,"4.4.2.5 HKLM\Software\Microsoft\Windows NT\CurrentVersion\AsrCommands – Administrators: Full; System: Full;Creator Owner: Full; Users: Read; Backup Operators: Query Value, Set Value, Create Subkey, EnumerateSubkeys, Notify, Delete, Read (this key and subkeys)",Reg ACL Check AsrCommands,
CCE-3242-5,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Perflib should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-19,4.4.2.6 HKLM\Software\Microsoft\Windows NT\CurrentVersion\Perflib – Administrators: Full; System: Full; CreatorOwner: Full; Interactive: Read (this key and subkeys),Registry ACL Check Perflib,
CCE-3374-6,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Group Policy should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-790,4.4.2.7 HKLM\Software\Microsoft\Windows\CurrentVersion\Group Policy - Administrators: Full; System: Full;Authenticated Users: Read,Reg ACL Check Group Policy,
CCE-3167-4,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-268,4.4.2.8 HKLM\Software\Microsoft\Windows\CurrentVersion\Installer - Administrators Full; System: Full; Users: Read,Reg ACL Check Installer,
CCE-3533-7,The required permissions for the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-321,4.4.2.9 HKLM\Software\Microsoft\Windows\CurrentVersion\Policies - Administrators: Full; System: Full; AuthenticatedUsers: Read,Reg ACL Check Policies,
CCE-2897-7,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-135,4.4.2.10 HKLM\System - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check SYSTEM,
CCE-3839-8,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\clone should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-558,4.4.2.11 HKLM\System\Clone – Allow inheritable permissions to propagate to this object,,
CCE-3865-3,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\controlset001 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-867,4.4.2.12 HKLM\System\ControlSet001 - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check controlset001,
CCE-3513-9,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\controlset002 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-545,4.4.2.13 HKLM\System\ControlSet00x - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check controlset002,
CCE-3896-8,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\controlset003 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-289,4.4.2.13 HKLM\System\ControlSet00x - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check controlset003,
CCE-3838-0,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\controlset004 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-465,4.4.2.13 HKLM\System\ControlSet00x - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check controlset004,
CCE-3750-7,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\controlset005 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-254,4.4.2.13 HKLM\System\ControlSet00x - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check controlset005,
CCE-3384-5,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\controlset006 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-606,4.4.2.13 HKLM\System\ControlSet00x - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check controlset006,
CCE-3680-6,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\controlset007 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-694,4.4.2.13 HKLM\System\ControlSet00x - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check controlset007,
CCE-3816-6,The required permissions for the registry key HKEY_LOCAL_MACHINE\SYSTEM\controlset008 should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-500,4.4.2.13 HKLM\System\ControlSet00x - Administrators Full; System: Full; Creator Owner: Full; Users: Read,Registry ACL Check controlset008,
