Unnamed: 0,Last modfied: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
CCE-28118-8,The httpd.conf file should be owned by the appropriate user.,(1) user,(1) via chown,,,,"Rule Title: Web administration tools must be restricted to the web manager and the web manager’s designees.
STIG ID: WG220 A22  Rule ID: SV-32948r1_rule  Vuln ID: V-2248
Severity: CAT II  Class: Unclass",,
CCE-27952-1,The httpd.conf file should be owned by the appropriate group.,(1) group,(1) via chown,,,,"Rule Title: Web administration tools must be restricted to the web manager and the web manager’s designees.
STIG ID: WG220 A22  Rule ID: SV-32948r1_rule  Vuln ID: V-2248
Severity: CAT II  Class: Unclass",,
CCE-27955-4,Apache's log_config_module should be enabled or disabled as appropriate.,(1) log_config_module,(1) Apache configuration file: LoadModule directive,,,"Rule Title: Logs of web server access and errors must be established and maintained.
STIG ID: WG240 A22  Rule ID: SV-33025r1_rule  Vuln ID: V-2250
Severity: CAT II  Class: Unclass",,"Rule Title: Logs of web server access and errors must be established and maintained.
STIG ID: WG240 W20  Rule ID: SV-36668r1_rule  Vuln ID: V-2250
Severity: CAT II  Class: Unclass",
CCE-27967-9,The file permissions for all files specified by CustomLog directives should be configured appropriately,(1) permissions,(1) via chmod,,,"Rule Title: Log file access must be restricted to System Administrators, Web Administrators or Auditors.
STIG ID: WG250 A22  Rule ID: SV-33033r1_rule  Vuln ID: V-2252
Severity: CAT II  Class: Unclass",,,
CCE-27906-7,All files specified by CustomLog directives should be owned by the appropriate user,(1) user,(1) via chown,,,"Rule Title: Log file access must be restricted to System Administrators, Web Administrators or Auditors.
STIG ID: WG250 A22  Rule ID: SV-33033r1_rule  Vuln ID: V-2252
Severity: CAT II  Class: Unclass",,,
CCE-27976-0,All files specified by CustomLog directives should be owned by the appropriate group,(1) group,(1) via chown,,,"Rule Title: Log file access must be restricted to System Administrators, Web Administrators or Auditors.
STIG ID: WG250 A22  Rule ID: SV-33033r1_rule  Vuln ID: V-2252
Severity: CAT II  Class: Unclass",,,
CCE-28059-4,The Unix permissions for all files specified by ErrorLog directives should be configured appropriately,(1) permissions,(1) via chmod,,,"Rule Title: Log file access must be restricted to System Administrators, Web Administrators or Auditors.
STIG ID: WG250 A22  Rule ID: SV-33033r1_rule  Vuln ID: V-2252
Severity: CAT II  Class: Unclass",,,
CCE-27888-7,All files specified by ErrorLog directives should be owned by the appropriate user,(1) user,(1) via chown,,,"Rule Title: Log file access must be restricted to System Administrators, Web Administrators or Auditors.
STIG ID: WG250 A22  Rule ID: SV-33033r1_rule  Vuln ID: V-2252
Severity: CAT II  Class: Unclass",,,
CCE-27889-5,All files specified by ErrorLog directives should be owned by the appropriate group,(1) group,(1) via chown,,,"Rule Title: Log file access must be restricted to System Administrators, Web Administrators or Auditors.
STIG ID: WG250 A22  Rule ID: SV-33033r1_rule  Vuln ID: V-2252
Severity: CAT II  Class: Unclass",,,
CCE-27795-4,The Unix permissions of Apache's htpasswd file should be configured appropriately.,(1) permissions,(1) via chmod,,,,"Rule Title: The web server’s htpasswd files (if present) must reflect proper ownership and permissions.
STIG ID: WG270 A22  Rule ID: SV-36478r1_rule  Vuln ID: V-2255
Severity: CAT II  Class: Unclass",,
CCE-28071-9,The htpasswd should be owned by the appropriate user.,(1) user,(1) via chown,,,,"Rule Title: The web server’s htpasswd files (if present) must reflect proper ownership and permissions.
STIG ID: WG270 A22  Rule ID: SV-36478r1_rule  Vuln ID: V-2255
Severity: CAT II  Class: Unclass",,
CCE-27981-0,The htpasswd file should be owned by the appropriate group.,(1) group,(1) via chown,,,,"Rule Title: The web server’s htpasswd files (if present) must reflect proper ownership and permissions.
STIG ID: WG270 A22  Rule ID: SV-36478r1_rule  Vuln ID: V-2255
Severity: CAT II  Class: Unclass",,
CCE-28013-1,The Unix permissions for all directories specified by ScriptAlias directives should be configured appropriately.,(1) permissions,(1) via chmod,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-28141-0,All directories specified by ScriptAlias directives should be owned by the appropriate user.,(1) user,(1) via chown,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-28020-6,All directories specified by ScriptAlias directives should be owned by the appropriate group.,(1) group,(1) via chown,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-28084-2,The Unix permissions for all directories specified by ScriptAliasMatch directives should be configured appropriately.,(1) permissions,(1) via chmod,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27611-3,All directories specified by ScriptAliasMatch directives should be owned by the appropriate user.,(1) user,(1) via chown,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-28146-9,All directories specified by ScriptAliasMatch directives should be owned by the appropriate group.,(1) group,(1) via chown,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27811-9,The Unix permissions for all directories specified by DocumentRoot directives should be configured appropriately.,(1) permissions,(1) via chmod,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-28107-1,All directories specified by DocumentRoot directives should be owned by the appropriate user.,(1) user,(1) via chown,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27499-3,All directories specified by DocumentRoot directives should be owned by the appropriate group.,(1) group,(1) via chown,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27620-4,The Unix permissions for all directories specified by Alias directives should be configured appropriately.,(1) permissions,(1) via chmod,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27933-1,All directories specified by Alias directives should be owned by the appropriate user.,(1) user,(1) via chown,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-28117-0,All directories specified by Alias directives should be owned by the appropriate group.,(1) group,(1) via chown,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 A22  Rule ID: SV-33027r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27957-0,The Unix permissions for all directories specified by ServerRoot directives should be configred appropriately,(1) permissions,(1) via chmod,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27871-3,All directories specified by ServerRoot directives should be owned by the appropriate user.,(1) user,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27647-7,All directories specified by ServerRoot directives should be owned by the appropriate group.,(1) group,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28055-2,The Unix permissions of Apache's configuration directory should be configred appropriately,(1) permissions,(1) via chmod,,L1 19. Updating Ownership and Permissions for Enhanced Security p27,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28119-6,Apache's configuration directory should be owned by the appropriate user.,(1) user,(1) via chown,,L1 19. Updating Ownership and Permissions for Enhanced Security p27,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28069-3,Apache's configuration directory should be owned by the appropriate group.,(1) group,(1) via chown,,L1 19. Updating Ownership and Permissions for Enhanced Security p27,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28006-5,The Unix permissions of Apache's /bin directory should be configred appropriately,(1) permissions,(1) via chmod,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27742-6,Apache's /bin directory should be owned by the appropriate user.,(1) user,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27914-1,Apache's /bin directory should be owned by the appropriate group.,(1) group,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28046-1,The Unix permissions of Apache's /logs directory should be configred appropriately,(1) permissions,(1) via chmod,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28126-1,Apache's /logs directory should be owned by the appropriate user.,(1) user,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27979-4,Apache's /logs directory should be owned by the appropriate group.,(1) group,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27643-6,The Unix permissions of Apache's /htdocs directory should be configred appropriately,(1) permissions,(1) via chmod,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28035-4,Apache's /htdocs directory should be owned by the appropriate user.,(1) user,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27984-4,Apache's /htdocs directory should be owned by the appropriate group.,(1) group,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28115-4,The Unix permissions of Apache's /cgi-bin directory should be configred appropriately,(1) permissions,(1) via chmod,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28068-5,Apache's /cgi-bin directory should be owned by the appropriate user.,(1) user,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28030-5,Apache's /cgi-bin directory should be owned by the appropriate group.,(1) group,(1) via chown,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 A22  Rule ID: SV-32938r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-28044-6,The Apache site's robots.txt should be configured to disallow paths and files as appropriate.,"(1) User-Agent
(2) Disallowed path(s)|file(s)",(1) robots.txt,,,"Rule Title: A private web server must not respond to requests from public search engines.
STIG ID: WG310 A22  Rule ID: SV-33028r1_rule  Vuln ID: V-2260
Severity: CAT II  Class: Unclass",,"Rule Title: A private web server must not respond to requests from public search engines.
STIG ID: WG310 W22  Rule ID: SV-28798r2_rule  Vuln ID: V-2260
Severity: CAT II  Class: Unclass",
CCE-28137-8,Apache's ssl_module should be enabled or disabled as appropriate.,(1) ssl_module,(1) Apache configuration file: LoadModule directive,,,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 A22  Rule ID: SV-33029r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 W20  Rule ID: SV-36740r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",
CCE-28104-8,The Apache SSLProtocol directive should be configured appropriately.,(1) SSLv2 / SSLv3 / TLSv1 / All,(1) Apache configuration file: SSLProtocol directive,,,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 A22  Rule ID: SV-33029r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 W20  Rule ID: SV-36740r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",
CCE-27980-2,The Apache SSLEngine directive should be configured appropriately.,(1) On / Off,(1) Apache configuration file: SSLEngine directive,,,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 A22  Rule ID: SV-33029r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",,"Rule Title: A private web server must utilize TLS v 1.0 or greater.
STIG ID: WG340 W20  Rule ID: SV-36740r1_rule  Vuln ID: V-2262
Severity: CAT II  Class: Unclass",
CCE-27821-8,"The Apache ""ServerTokens"" directive should be configured appropriately.",(1) Prod[uctOnly] / Major / Minor / Min[imal] / OS / Full,(1) Apache configuration file: ServerTokens directive,,L1 11. Web Server Software Obfuscation General Directives p17,,"Rule Title: Web server and/or operating system information must be protected.
STIG ID: WG520 A22  Rule ID: SV-36672r1_rule  Vuln ID: V-6724
Severity: CAT III  Class: Unclass",,"Rule Title: Web server and/or operating system information must be protected.
STIG ID: WG520 W22  Rule ID: SV-33098r1_rule  Vuln ID: V-6724
Severity: CAT III  Class: Unclass"
CCE-27835-8,All Apache's online manual should be available or removed as appropriate.,(1) exist / not exist,(1) manual in the Server Root directory,,,,"Rule Title: All web server documentation, sample code, example applications, and tutorials must be  removed from a production web server.
STIG ID: WG385 A22  Rule ID: SV-32933r1_rule  Vuln ID: V-13621
Severity: CAT I  Class: Unclass",,"Rule Title: All web server documentation, sample code, example applications, and tutorials must be  removed from a production web server.
STIG ID: WG385 W22  Rule ID: SV-33087r1_rule  Vuln ID: V-13621
Severity: CAT I  Class: Unclass"
CCE-28034-7,Apache's demo CGI printenv.pl should be available or removed as appropriate,(1) exist / not exist,"(1) (ServerRoot)\cgi-bin\printenv.pl
(2) (ServerRoot)/cgi-bin/printenv.pl",,L1 18. Remove Default/Unneeded Apache Files p27,,"Rule Title: All web server documentation, sample code, example applications, and tutorials must be  removed from a production web server.
STIG ID: WG385 A22  Rule ID: SV-32933r1_rule  Vuln ID: V-13621
Severity: CAT I  Class: Unclass",,"Rule Title: All web server documentation, sample code, example applications, and tutorials must be  removed from a production web server.
STIG ID: WG385 W22  Rule ID: SV-33087r1_rule  Vuln ID: V-13621
Severity: CAT I  Class: Unclass"
CCE-28010-7,The Apache access log file data should be configured to contain the appropriate data elements.,(1) LogFormat Format String,(1) Apache configuration file: LogFormat directive,,L1 17. Logging General Directives p26,"Rule Title: Log file data must contain required data elements.
STIG ID: WG242 A22  Rule ID: SV-36642r1_rule  Vuln ID: V-13688
Severity: CAT II  Class: Unclass",,"Rule Title: Log file data must contain required data elements.
STIG ID: WG242 W22  Rule ID: SV-28654r2_rule  Vuln ID: V-13688
Severity: CAT II  Class: Unclass",
CCE-28143-6,"The Apache ""Timeout"" directive should be configured appropriately.",(1) Number value (in seconds),(1) Apache configuration file: Timeout directive,,L1 10. Denial of Service (DoS) Protective General Directives pg 16,,"Rule Title: The Timeout directive must be properly set.
STIG ID: WA000-WWA020 A22  Rule ID: SV-32977r1_rule  Vuln ID: V-13724
Severity: CAT II  Class: Unclass",,"Rule Title: The Timeout directive must be properly set.
STIG ID: WA000-WWA020 W22  Rule ID: SV-32980r1_rule  Vuln ID: V-13724
Severity: CAT II  Class: Unclass"
CCE-27148-6,"The Apache ""KeepAlive"" directive should be configured appropriately.",(1) On / Off,(1) Apache configuration file: KeepAlive directive,,L1 10. Denial of Service (DoS) Protective General Directives pg 16,,"Rule Title: The KeepAlive directive must be enabled.
STIG ID: WA000-WWA022 A22  Rule ID: SV-32844r1_rule  Vuln ID: V-13725
Severity: CAT II  Class: Unclass",,"Rule Title: The KeepAlive directive must be enabled.
STIG ID: WA000-WWA022 W22  Rule ID: SV-32987r1_rule  Vuln ID: V-13725
Severity: CAT II  Class: Unclass"
CCE-27938-0,"The Apache ""KeepAliveTimeout"" directive should be configured appropriately.",(1) Number value (in seconds),(1) Apache configuration file: KeepAliveTimeout directive,,L1 10. Denial of Service (DoS) Protective General Directives pg 16,,"Rule Title: The KeepAliveTimeout directive must be defined.
STIG ID: WA000-WWA024 A22  Rule ID: SV-32877r1_rule  Vuln ID: V-13726
Severity: CAT II  Class: Unclass",,"Rule Title: The KeepAliveTimeout directive must be defined.
STIG ID: WA000-WWA024 W22  Rule ID: SV-32880r1_rule  Vuln ID: V-13726
Severity: CAT II  Class: Unclass"
CCE-27479-5,"The Apache ""StartServers"" directive should be configured appropriately.",(1) Number value,(1) Apache configuration file: StartServers directive,,,,"Rule Title: The httpd.conf StartServers directive must be set properly.
STIG ID: WA000-WWA026 A22  Rule ID: SV-36645r1_rule  Vuln ID: V-13727
Severity: CAT II  Class: Unclass",,
CCE-27989-3,"The Apache ""MinSpareServers"" directive should be configured appropriately.",(1) Number value,(1) Apache configuration file: MinSpareServers directive,,,,"Rule Title: The httpd.conf MinSpareServers directive must be set properly. 
STIG ID: WA000-WWA028 A22  Rule ID: SV-36646r1_rule  Vuln ID: V-13728
Severity: CAT II  Class: Unclass",,
CCE-28133-7,"The Apache ""MaxSpareServers"" directive should be configured appropriately.",(1) Number value,(1) Apache configuration file: MaxSpareServers directive,,,,"Rule Title: The httpd.conf MaxSpareServers directive must be set properly. 
STIG ID: WA000-WWA030 A22  Rule ID: SV-36648r1_rule  Vuln ID: V-13729
Severity: CAT III  Class: Unclass",,
CCE-27188-2,"The Apache ""MaxClients"" directive should be configured appropriately.",(1) Number value,(1) Apache configuration file: MaxClients directive,,L1 10. Denial of Service (DoS) Protective General Directives pg 16,,"Rule Title: The httpd.conf MaxClients directive must be set properly. 
STIG ID: WA000-WWA032 A22  Rule ID: SV-36649r1_rule  Vuln ID: V-13730
Severity: CAT II  Class: Unclass",,
CCE-28066-9,"The Apache ""FollowSymLinks"" setting for all ""Options"" directives should be configured appropriately.",(1) FollowSymLinks / -FollowSymLinks / +FollowSymLinks / None,(1) Apache configuration file: Options directive,,,,"Rule Title: The FollowSymLinks setting must be disabled.
STIG ID: WA000-WWA052 A22  Rule ID: SV-40129r1_rule  Vuln ID: V-13732
Severity: CAT II  Class: Unclass",,
CCE-28183-2,"The Apache ""Includes"" setting for all ""Options"" directives should be configured appropriately.",(1) Includes / -Includes / +Includes / None,(1) Apache configuration file: Options directive,,,,"Rule Title: Server side includes (SSIs) must run with execution capability disabled.
STIG ID: WA000-WWA054 A22  Rule ID: SV-32753r1_rule  Vuln ID: V-13733
Severity: CAT I  Class: Unclass",,
CCE-28101-4,"The Apache ""IncludesNoExec"" setting for all ""Options"" directives should be configured appropriately.",(1) IncludesNoExec / -IncludesNoExec / +IncludesNoExec / None,(1) Apache configuration file: Options directive,,,,"Rule Title: Server side includes (SSIs) must run with execution capability disabled.
STIG ID: WA000-WWA054 A22  Rule ID: SV-32753r1_rule  Vuln ID: V-13733
Severity: CAT I  Class: Unclass",,
CCE-28100-6,"The Apache ""MultiViews"" setting for all ""Options"" directives should be configured appropriately.",(1) MultiViews / -MultiViews / +MultiViews / None,(1) Apache configuration file: Options directive,,,,"Rule Title: The MultiViews directive must be disabled.
STIG ID: WA000-WWA056 A22  Rule ID: SV-32754r1_rule  Vuln ID: V-13734
Severity: CAT II  Class: Unclass",,
CCE-27737-6,"The Apache ""Indexes"" setting for all ""Options"" directives should be configured appropriately.",(1) Indexes / -Indexes / +Indexes / None,(1) Apache configuration file: Options directive,,,,"Rule Title: Directory indexing must be disabled on directories not containing index files.
STIG ID: WA000-WWA058 A22  Rule ID: SV-32755r1_rule  Vuln ID: V-13735
Severity: CAT II  Class: Unclass",,
CCE-28089-1,"The Apache ""LimitRequestBody"" directive should be configured appropriately.",(1) Number value (in bytes) ,(1) Apache configuration file: LimitRequestBody directive,,L2 7. Buffer Overflow Protections p42,,"Rule Title: The HTTP request message body size must be limited.
STIG ID: WA000-WWA060 A22  Rule ID: SV-32756r1_rule  Vuln ID: V-13736
Severity: CAT II  Class: Unclass+G66",,"Rule Title: The HTTP request message body size must be limited.
STIG ID: WA000-WWA060 W22  Rule ID: SV-33008r1_rule  Vuln ID: V-13736
Severity: CAT II  Class: Unclass"
CCE-27646-9,"The Apache ""LimitRequestFields"" directive should be configured appropriately",(1) Number value,(1) Apache configuration file: LimitRequestFields directive,,L2 7. Buffer Overflow Protections p42,,"Rule Title: The HTTP request header fields must be limited.
STIG ID: WA000-WWA062 A22  Rule ID: SV-32757r1_rule  Vuln ID: V-13737
Severity: CAT II  Class: Unclass",,"Rule Title: The HTTP request header fields must be limited.
STIG ID: WA000-WWA062 W22  Rule ID: SV-33009r1_rule  Vuln ID: V-13737
Severity: CAT II  Class: Unclass"
CCE-27907-5,"The Apache ""LimitRequestFieldSizeBody"" directive should be configured appropriately.",(1) Number value (in bytes),(1) Apache configuration file: LimitRequestFieldSizeBody directive,,L2 7. Buffer Overflow Protections p42,,"Rule Title: The HTTP request header field size must be limited.
STIG ID: WA000-WWA064 A22  Rule ID: SV-32766r1_rule  Vuln ID: V-13738
Severity: CAT II  Class: Unclass",,"Rule Title: The HTTP request header field size must be limited.
STIG ID: WA000-WWA064 W22  Rule ID: SV-33010r1_rule  Vuln ID: V-13738
Severity: CAT II  Class: Unclass"
CCE-28106-3,"The Apache ""LimitRequestline"" directive should be configured appropriatley.",(1) Number value (in bytes) ,(1) Apache configuration file: LimitRequestLine directive,,L2 7. Buffer Overflow Protections p42,,"Rule Title: The HTTP request line must be limited.
STIG ID: WA000-WWA066 A22  Rule ID: SV-32768r1_rule  Vuln ID: V-13739
Severity: CAT II  Class: Unclass",,"Rule Title: The HTTP request line must be limited.
STIG ID: WA000-WWA066 W22  Rule ID: SV-33011r1_rule  Vuln ID: V-13739
Severity: CAT II  Class: Unclass"
