Unnamed: 0,Last modified: 2009-04-30,Unnamed: 2,f,Unnamed: 4,Unnamed: 5
CCE-6266-1,.shosts files should exist or not as appropriate for all users.,exist/not exist,via filesystem,,10.8.10.5.2.6 (6)
CCE-6487-3,The /etc/hosts.equiv file should exist or not as appropriate.,exist/not exist,via filesystem,,10.8.10.5.2.6 (6)
CCE-6521-9,The use of NIS special characters  (+ or -) in the first field of the /etc/passwd file should be allowed or disallowed as appropriate.,allowed/not allowed,via Text editor,,10.8.10.5.2.6 (7)
CCE-5865-1,The use of NIS special characters  (+ or -) in the first field of the /etc/shadow file should be allowed or disallowed as appropriate.,allowed/not allowed,via Text editor,,10.8.10.5.2.6 (7)
CCE-6239-8,The use of NIS special characters  (+ or -) in the first field of the /etc/group file should be allowed or disallowed as appropriate.,allowed/not allowed,via Text editor,,10.8.10.5.2.6 (7)
CCE-6556-5,The /etc/shells file should exist or not as appropriate,exist/not exist,via /etc/shells,,10.8.10.5.2.6 (11)
CCE-5795-0,Shells referenced in /etc/passwd should be included in /etc/shells or not as appropriate,included/not included,via /etc/shells,,10.8.10.5.2.6 (12)
CCE-6772-8,Groups referenced in /etc/passwd should be included in /etc/group or not as appropriate.,included/not included,via /etc/group,,10.8.10.5.2.6 (15)
CCE-6662-1,The home directory for the root account should be set appropriately.,path,via /etc/passwd,,10.8.10.5.2.6 (16)
CCE-5814-9,The home directory for each user account should be set appropriately.,path,via /etc/passwd,,10.8.10.5.2.6 (17)
CCE-6496-4,Home directories referenced in /etc/passwd should exist or not as appropriate,exist/not exist,via filesystem,,10.8.10.5.2.6 (18)
CCE-6716-5,All device files should be located inside an appropriate path,path,via filesystem,,10.8.10.5.2.6 (24)
CCE-6627-4,The ntpd service should be enabled or disabled as appropriate.,enabled/disabled,via RC scripts,,10.8.10.5.3 (3)
CCE-5971-7,The Network Time Protocol (ntp) synchronization server should be set appropriately.,timeserver,via D64ntpd.conf,,
CCE-6808-0,All logon attempts should be logged or not logged as appropriate,logged/not logged,,,10.8.10.5.3 (4)
CCE-5966-7,All su (switch user) activity should be logged or not as appropriate,logged/not logged,,,10.8.10.5.3 (5)
CCE-6812-2,Filesystem logging/journaling should be performed or not as appropriate,performed/not performed,,,10.8.10.5.3 (6)
CCE-6160-6,Automount should be enabled or disabled as appropriate,enabled/disabled,,,10.8.10.5.4.1 (12)
CCE-6781-9,Source-routed packets should be accepted or rejected as appropriate.,accepted/rejected,,,10.8.10.5.4.1 (2) a)
CCE-5818-0,Response to ICMP timestamp requests should be enabled or disabled as appropriate,enabled/disabled,,,10.8.10.5.4.1 (2) c)
CCE-6164-8,Response to ICMP timestamp broadcast requests should be enabled or disabled as appropriate,enabled/disabled,,,10.8.10.5.4.1 (2) d)
CCE-5823-0,Response to ICMP echo (ping) requests should be enabled or disabled as appropriate,enabled/disabled,,,10.8.10.5.4.1 (2) e)
CCE-6574-8,Executable stack should be enabled or disabled as appropriate,enabled/disabled,,,10.8.10.5.4.1 (3)
CCE-6340-4,The default gateway should be set appropriately.,IP address/disabled,via /etc/default/route.conf,,10.8.10.5.4.1 (4)
CCE-5826-3,The inetd service should be enabled or disabled as appropriate.,enabled/disabled,via RC scripts,,10.8.10.5.4.1 (5)
CCE-6720-7,echo service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #1
CCE-6795-9,netstat service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #2
CCE-6623-3,rcp service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #3
CCE-6288-5,chargen service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #4
CCE-6755-3,finger service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #5
CCE-5831-3,tftpd service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #6
CCE-6478-2,walld service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #7
CCE-6821-3,rstatd service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #8
CCE-6482-4,sprayd service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #9
CCE-6543-3,rusersd service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #10
CCE-6636-5,rlogin service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #11
CCE-6418-8,rsh service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #12
CCE-6119-2,ftp service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #13
CCE-6634-0,telnet service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #14
CCE-6339-6,DEPRECATED.,,,,
CCE-6823-9,inn service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #16
CCE-5845-3,uucp service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #17
CCE-6806-4,rexec service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #18
CCE-6325-5,inetd logging should be enabled or disabled as appropriate,enabled/disabled,,,10.8.10.5.4.1 (11) #19
CCE-5920-4,font-service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #20
CCE-6766-0,imap2 service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #21
CCE-6614-2,pop3 service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #22
CCE-6728-0,ident service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #23
CCE-6494-9,rexd service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #24
CCE-6834-6,sadmin service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #25
CCE-6777-7,daytime service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #26
CCE-6305-7,dtspc (cde-spc) service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #27
CCE-6776-9,rquotad service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #28
CCE-5857-8,cmsd service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #29
CCE-6154-9,tooltalk service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #30
CCE-6334-7,xdmcp service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #31
CCE-6810-6,discard service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #32
CCE-6639-9,DEPRECATED.,,,,
CCE-5965-9,vino-server service should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1 (11) #34
CCE-6484-0,The bind service should be enabled or disabled as appropriate.,enabled/disabled,"via inetd
via inetd.conf",,10.8.10.5.4.1.1 (2)
CCE-6704-1,The version string reported by the bind service should be configured appropriately.,string,via /etc/named.conf,,10.8.10.5.4.1.1 (5)
CCE-5866-9,SSH Protocol v1 should be enabled or disabled as appropriate,enabled/disabled,,,10.8.10.5.4.1.2 (2)
CCE-6682-9,TCP_WRAPPERS should be enabled or disabled as appropriate,enabled/disabled,"via inetadm
via svccfg",,10.8.10.5.4.1.3 (1)
CCE-6651-4,SNMP version 1 should be enabled or disabled as appropriate,enabled/disabled,,,10.8.10.5.4.1.4 (1)
CCE-6686-0,The nfsd service should be enabled or disabled as appropriate,enabled/disabled,via RC scripts,,10.8.10.5.4.1.5 (1)
CCE-6655-5,The mountd service should be enabled or disabled as appropriate,enabled/disabled,via RC scripts,,10.8.10.5.4.1.5 (1)
CCE-6754-6,The statd service should be enabled or disabled as appropriate,enabled/disabled,via RC scripts,,10.8.10.5.4.1.5 (1)
CCE-6345-3,The lockd service should be enabled or disabled as appropriate,enabled/disabled,via RC scripts,,10.8.10.5.4.1.5 (1)
CCE-6816-3,NFS should be configured to respond or not as appropriate to client requests that do not include a user id .,respond/not respond,,,10.8.10.5.4.1.5 (1) a)
CCE-6842-9,NFS should be configured to respond or not as appropriate to client requests that do not originate from a privileged port.,respond/not respond,,,10.8.10.5.4.1.5 (1) a)
CCE-6807-2,NFS should be configured with appropriate authentication methods,list of auth methods,"via NFS
via /etc/exports",,10.8.10.5.4.1.5 (1) f)
CCE-6573-0,The read-only (ro) option should be enabled or disabled as appropriate for all NFS exports.,enabled/disabled,via /etc/exports,,10.8.10.5.4.1.5 (1) g)
CCE-5874-3,The nosuid option should be enabled or disabled for all NFS mounts as appropriate,enabled/disabled,via /etc/fstab,,10.8.10.5.4.1.5 (1) i)
CCE-6775-1,Sendmail should be enabled or disabled as appropriate,enabled/disabled,"via inetd
via RC scripts",,10.8.10.5.4.2.2 (1)
CCE-6537-5,The sendmail banner should be set appropriately.,string,via /etc/mail/sendmail.cf,,10.8.10.5.4.2.2 (3)
CCE-6740-5,The decode sendmail alias should be enabled or disabled as appropriate.,enabled/disabled,"via /etc/aliases
via /usr/lib/aliases",,10.8.10.5.4.2.2 (4) c)
CCE-6874-2,.forward files should be allowed or disallowed as appropriate for all users,allow/disallow,via rm,,10.8.10.5.4.2.2 (4) e)
CCE-6843-7,Programs executed through the aliases file should be owned by an appropriate user,user,via chown,,10.8.10.5.4.2.2 (4) f)
CCE-6654-8,Programs executed through the aliases file should reside a directory with an appropriate user owner,user,via chown,,10.8.10.5.4.2.2 (4) f)
CCE-6063-2,Sendmail vrfy command should be allowed or not as appropriate,allow/disallow,via /etc/mail/sendmail.cf,,10.8.10.5.4.2.2 (4) g)
CCE-6526-8,Sendmail expn command should be allowed or not as appropriate,allow/disallow,via /etc/mail/sendmail.cf,,10.8.10.5.4.2.2 (4) h)
CCE-5880-0,Sendmail should be configured with an appropriate logging level,logging level,via /etc/mail/sendmail.cf,,10.8.10.5.4.2.2 (4) i)
CCE-6756-1,Sendmail help command should be allowed or not as appropriate,allow/disallow,"via sendmail
via /etc/mail/sendmail.cf",,10.8.10.5.4.2.2 (4) k)
CCE-6853-6,NIS+ server should operate at an appropriate security level,security level,via NIS+,,10.8.10.5.4.2.3 (1) b)
CCE-6513-6,X-Windows should be enabled or disabled as appropriate,enabled/disabled,via Xwindows,,10.8.10.5.4.2.4 (1)
CCE-6588-8,Authorized X-clients should be listed or not in the X*.hosts file as appropriate,listed/not listed,via /etc/X*.hosts,,10.8.10.5.4.2.4 (2) b)
CCE-5914-7,X-Windows should write .Xauthority files to users' home directories or not as appropriate,write/not write,"via xdm
via gdm
via kdm",,10.8.10.5.4.2.4 (2) d)
CCE-5881-8,X11 forwarding via SSH should be enabled or disabled as appropriate.,enabled/disabled,via sshd_config,,10.8.10.5.4.2.4 (2) f)
CCE-6169-7,Samba should be enabled or disabled as appropriate,enabled/disabled,"via smbd
via RC scripts",,10.8.10.5.4.2.6 (1)
CCE-6811-4,Samba 'hosts allow' option should be configured with an appropriate set of networks,list of networks,"via smbd
via smb.conf",,10.8.10.5.4.2.6 (3) a)
CCE-6763-7,Samba 'security option' option should be set as appropriate,,"via smbd
via smb.conf",,10.8.10.5.4.2.6 (3) b)
CCE-6605-0,Samba 'encrypt' passwords option should be set as appropriate,yes/no,"via smbd
via smb.conf",,10.8.10.5.4.2.6 (3) c)
CCE-6749-6,Samba 'smb passwd file' option should be set to an appropriate password file or no password file,file/nothing,"via smbd
via smb.conf",,10.8.10.5.4.2.6 (3) d)
CCE-6216-6,IPv6 should be enabled or disabled as appropriate,enabled/disabled,via ifconfig,,10.8.10.5.4.3 (1)
CCE-6467-5,"The ""at"" utility directory permissions should be set as appropriate",permissions,via chmod,,10.8.10-1 A.1 1) #1
CCE-6687-8,at.allow file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #2
CCE-6657-1,at.deny file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #2
CCE-6097-0,Cron directory permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #5
CCE-6784-3,Crontab directory permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #5
CCE-6498-0,Cron log file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #6
CCE-6533-4,cron.allow file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #7
CCE-6736-3,cron.deny file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #7
CCE-6652-2,Crontab file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #8
CCE-6832-0,/dev/kmem file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #9
CCE-6445-1,/dev/mem file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #10
CCE-6356-0,/dev/null file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #11
CCE-5892-5,resolv.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #13
CCE-5895-8,/etc/named.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #14
CCE-6033-5,File permissions should be set appropriately for all user home directories.,permissions,via chmod,,10.8.10-1 A.1 1) #21
CCE-6377-6,/etc/exports file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #23
CCE-6751-2,/usr/bin/at file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #25
CCE-6848-6,/usr/bin/rdist file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #26
CCE-6883-3,/usr/sbin/sync file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #27
CCE-6724-9,Superuser account home directories' permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #29
CCE-6663-9,/etc/samba/smb.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #31
CCE-6570-6,smbpassword executable permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #32
CCE-6667-0,Aliases file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #34
CCE-5897-4,File permissions should be set as appropriate for the log file configured to capture critical sendmail messages.,permissions,via chmod,,10.8.10-1 A.1 1) #35
CCE-6380-0,All files executed through /etc/aliases file entries should have file permissions set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #36
CCE-5901-4,/bin/csh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #37
CCE-6142-4,/bin/jsh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #38
CCE-5902-2,/bin/ksh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #39
CCE-6544-1,The /bin/rsh file should exist or not as appropriate,exist/not exist,via filesystem,,10.8.10-1 A.1 1) #40
CCE-6830-4,/bin/sh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #41
CCE-6407-1,/bin/bash file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #42
CCE-6693-6,/sbin/csh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #43
CCE-6750-4,/sbin/jsh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #44
CCE-6719-9,/sbin/ksh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #45
CCE-6506-0,The /sbin/rsh file should exist or not as appropriate,exist/not exist,via filesystem,,10.8.10-1 A.1 1) #46
CCE-6598-7,/sbin/sh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #47
CCE-6593-8,/sbin/bash file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #48
CCE-6188-7,/usr/bin/csh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #49
CCE-6034-3,/usr/bin/jsh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #50
CCE-6664-7,/usr/bin/ksh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #51
CCE-6131-7,The /usr/bin/rsh file should exist or not as appropriate,exist/not exist,via filesystem,,10.8.10-1 A.1 1) #52
CCE-6897-3,/usr/bin/sh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #53
CCE-6884-1,/usr/bin/bash file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #54
CCE-6584-7,snmpd.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #56
CCE-6879-1,/tmp file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #57
CCE-6461-8,/usr/tmp file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #58
CCE-6742-1,traceroute executable file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #59
CCE-6839-5,.Xauthority file permissions should be set appropriately for all users.,permissions,via chmod,,10.8.10-1 A.1 1) #60
CCE-6773-6,/etc/aliases file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #61
CCE-6429-5,/etc/cron.d/at.allow file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #62
CCE-6901-3,/etc/cron.d/cron.allow file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #63
CCE-5908-9,/etc/csh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #64
CCE-6875-9,/etc/default/* file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #65
CCE-6347-9,/etc/default/login file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #66
CCE-5916-2,/etc/dfs file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #67
CCE-6714-0,/etc/fs file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #68
CCE-5924-6,The /etc/ftpusers file should exist or not as appropriate,exist/not exist,via filesystem,,10.8.10-1 A.1 1) #69
CCE-6814-8,/etc/host.lpd file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #70
CCE-6801-5,/etc/hostname* file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #71
CCE-6695-1,/etc/hosts file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #72
CCE-6893-2,/etc/inetd.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #73
CCE-6722-3,/etc/issue file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #75
CCE-5928-7,/etc/jsh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #76
CCE-6857-7,/etc/ksh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #77
CCE-5935-2,/etc/mail/aliases file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #78
CCE-6849-4,/etc/motd file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #79
CCE-5948-5,/etc/netconfig file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #80
CCE-5958-4,/etc/notrouter file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #81
CCE-6788-4,/etc/pam.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #82
CCE-6757-9,/etc/passwd file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #83
CCE-6669-6,The /etc/rsh file should exist or not as appropriate,exist/not exist,via filesystem,,10.8.10-1 A.1 1) #84
CCE-6872-6,/etc/security file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #85
CCE-6889-0,/etc/services file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #86
CCE-6717-3,/etc/sh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #87
CCE-6827-0,/etc/shadow file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #88
CCE-6464-2,/etc/syslog.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #89
CCE-5960-0,/etc/ufs file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #90
CCE-6809-8,/etc/vfstab file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #91
CCE-5967-5,/etc/vold.conf file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #92
CCE-6385-9,/var/adm/loginlog file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #93
CCE-6005-3,/var/adm/messages file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #94
CCE-6226-5,/var/adm/sulog file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #95
CCE-6137-4,/var/adm/utmp file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #96
CCE-6732-2,/var/adm/wtmp file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #97
CCE-6789-2,/var/adm/authlog file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #98
CCE-6855-1,/var/adm/syslog file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #99
CCE-6824-7,/var/mail file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #100
CCE-6965-8,/var/tmp file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #101
CCE-6916-1,/usr/lib/pt_chmod file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #103
CCE-6745-4,/usr/lib/embedded_us file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #104
CCE-6295-0,/usr/lib/sendmail file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #105
CCE-6123-4,/usr/kerberos/bin/rsh file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #107
CCE-6449-3,/var/spool/mail file permissions should be set appropriately,permissions,via chmod,,10.8.10-1 A.1 1) #108
