CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,DISA STIG,CCI
CCE-84702-0,audit_files_mode_configure,Configure Audit Log Files to Mode 440 or Less Permissive,"The audit service _MUST_ be configured to create log files that are readable only by the root user and group wheel. To achieve this, audit log files _MUST_ be configured to mode 440 or less permissive; thereby preventing normal users from reading, modifying or deleting audit logs. 
",Script,"/bin/ls -l $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '!/-r--r-----|current|total/{print $1}' | /usr/bin/wc -l | /usr/bin/tr -d ' '
",{'integer': 0},"[source,bash]
----
/bin/chmod 440 $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')/*
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,AOSX-15-001016,CCI-000162
CCE-84710-3,audit_files_owner_configure,Configure Audit Log Files to be Owned by Root,"Audit log files _MUST_ be owned by root.

The audit service _MUST_ be configured to create log files with the correct ownership to prevent normal users from reading audit logs.

Audit logs contain sensitive data about the system and users. If log files are set to only be readable and writable by system administrators, the risk is mitigated.
",Script,"/bin/ls -n $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{s+=$3} END {print s}'  
",{'integer': 0},"[source,bash]
----
/usr/sbin/chown -R root $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')/*
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,AOSX-15-001012,CCI-000162
CCE-84711-1,audit_flags_aa_configure,Configure System to Audit All Authorization and Authentication Events,"The auditing system _MUST_ be configured to flag authorization and authentication (aa) events.

Authentication events contain information about the identity of a user, server, or client. Authorization events contain information about permissions, rights, and rules. If audit records do not include aa events, it is difficult to identify incidents and to correlate incidents to subsequent events. 

Audit records can be generated from various components within the information system (e.g., via a module or policy filter).
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec 'aa'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*[^-]aa"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,aa/' /etc/security/audit_control; /usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
MA-4(1)
CM-5(1)","3.3.1
3.3.2","SRG-OS-000470-GPOS-00214
SRG-OS-000472-GPOS-00217
SRG-OS-000473-GPOS-00218
SRG-OS-000475-GPOS-00220",AOSX-15-001044,
CCE-84712-9,audit_flags_ad_configure,Configure System to Audit All Administrative Action Events,"The auditing system _MUST_ be configured to flag administrative action (ad) events.

Administrative action events include changes made to the system (e.g. modifying authentication policies). If audit records do not include ad events, it is difficult to identify incidents and to correlate incidents to subsequent events. 

Audit records can be generated from various components within the information system (e.g., via a module or policy filter). 

The information system audits the execution of privileged functions.

NOTE: We recommend changing the line ""43127:AUE_MAC_SYSCALL:mac_syscall(2):ad"" to ""43127:AUE_MAC_SYSCALL:mac_syscall(2):zz"" in the file /etc/security/audit_event. This will prevent sandbox violations from being audited by the ad flag. 
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec 'ad'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*[^-]ad"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,ad/' /etc/security/audit_control; /usr/sbin/audit -s
----
","AC-2(12)
AC-6(9)
AU-12
AC-2(4)
AU-2
MA-4(1)
CM-5(1)","3.1.7
3.3.1
3.3.2","SRG-OS-000004-GPOS-00004
SRG-OS-000239-GPOS-00089
SRG-OS-000240-GPOS-00090
SRG-OS-000241-GPOS-00091
SRG-OS-000327-GPOS-00127
SRG-OS-000392-GPOS-00172
SRG-OS-000471-GPOS-00215
SRG-OS-000471-GPOS-00216
SRG-OS-000476-GPOS-00221
SRG-OS-000477-GPOS-00222",AOSX-15-001001,"CCI-000018
CCI-000172
CCI-001403
CCI-001404
CCI-001405
CCI-002234
CCI-002884"
CCE-84913-3,audit_flags_ex_configure,Configure System to Audit All Failed Program Execution on the System,"The audit system _MUST_ be configured to record enforcement actions of access restrictions, including failed program execute (-ex) attempts.

Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using program execution restrictions (e.g., denying users access to execute certain processes). 

This configuration ensures that audit lists include events in which program execution has failed. 
Without auditing the enforcement of program execution, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-ex'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-ex"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-ex/' /etc/security/audit_control; /usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
CM-5(1)","3.3.1
3.3.2",,,
CCE-84922-4,audit_flags_fd_configure,Configure System to Audit All Deletions of Object Attributes,"The audit system _MUST_ be configured to record enforcement actions of attempts to delete file attributes (fd). 

***Enforcement actions are the methods or mechanisms used to prevent unauthorized changes to configuration settings. One common and effective enforcement action method is using access restrictions (i.e., denying modifications to a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions prevent attempts to delete a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fd'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-fd"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-fd/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)",,"SRG-OS-000064-GPOS-00033
SRG-OS-000365-GPOS-00152
SRG-OS-000458-GPOS-00203
SRG-OS-000461-GPOS-00205
SRG-OS-000463-GPOS-00207
SRG-OS-000465-GPOS-00209
SRG-OS-000466-GPOS-00210
SRG-OS-000467-GPOS-00211
SRG-OS-000468-GPOS-00212
SRG-OS-000474-GPOS-00219",AOSX-15-001020,"CCI-000172
CCI-001814"
CCE-84715-2,audit_flags_fm_configure,Configure System to Audit All Failed Change of Object Attributes,"The audit system _MUST_ be configured to record enforcement actions of failed attempts to modify file attributes (fm). 

Enforcement actions are the methods or mechanisms used to prevent unauthorized changes to configuration settings. One common and effective enforcement action method is using access restrictions (i.e., denying modifications to a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions prevent attempts to modify a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fm'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-fm"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-fm/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)","3.3.1
3.3.2
3.3.8","SRG-OS-000064-GPOS-00033
SRG-OS-000365-GPOS-00152
SRG-OS-000458-GPOS-00203
SRG-OS-000461-GPOS-00205
SRG-OS-000463-GPOS-00207
SRG-OS-000465-GPOS-00209
SRG-OS-000466-GPOS-00210
SRG-OS-000467-GPOS-00211
SRG-OS-000468-GPOS-00212
SRG-OS-000474-GPOS-00219",AOSX-15-001020,"CCI-000172
CCI-001814"
CCE-84713-7,audit_flags_fr_configure,Configure System to Audit All Failed Read Actions on the System,"The audit system _MUST_ be configured to record enforcement actions of access restrictions, including failed file read (-fr) attempts. 

Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using access restrictions (e.g., denying access to a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions prevent attempts to read a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fr'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-fr"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-fr/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)","3.3.1
3.3.2
3.3.8","SRG-OS-000064-GPOS-00033
SRG-OS-000365-GPOS-00152
SRG-OS-000458-GPOS-00203
SRG-OS-000461-GPOS-00205
SRG-OS-000463-GPOS-00207
SRG-OS-000465-GPOS-00209
SRG-OS-000466-GPOS-00210
SRG-OS-000467-GPOS-00211
SRG-OS-000468-GPOS-00212
SRG-OS-000474-GPOS-00219",AOSX-15-001020,"CCI-000172
CCI-001814"
CCE-84714-5,audit_flags_fw_configure,Configure System to Audit All Failed Write Actions on the System,"The audit system _MUST_ be configured to record enforcement actions of access restrictions, including failed file write (-fw) attempts.

Enforcement actions are the methods or mechanisms used to prevent unauthorized access and/or changes to configuration settings. One common and effective enforcement action method is using access restrictions (e.g., denying users access to edit a file by applying file permissions). 

This configuration ensures that audit lists include events in which enforcement actions prevent attempts to change a file. 

Without auditing the enforcement of access restrictions, it is difficult to identify attempted attacks, as there is no audit trail available for forensic investigation.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '\-fw'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*-fw"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,-fw/' /etc/security/audit_control;/usr/sbin/audit -s
----
","AC-2(12)
AU-12
AU-2
AU-9
CM-5(1)
MA-4(1)","3.3.1
3.3.2
3.3.8","SRG-OS-000064-GPOS-00033
SRG-OS-000365-GPOS-00152
SRG-OS-000458-GPOS-00203
SRG-OS-000461-GPOS-00205
SRG-OS-000463-GPOS-00207
SRG-OS-000465-GPOS-00209
SRG-OS-000466-GPOS-00210
SRG-OS-000467-GPOS-00211
SRG-OS-000468-GPOS-00212
SRG-OS-000474-GPOS-00219",AOSX-15-001020,"CCI-000172
CCI-001814"
CCE-84716-0,audit_flags_lo_configure,Configure System to Audit All Log In and Log Out Events,"The audit system _MUST_ be configured to record all attempts to log in and out of the system (lo). 

Frequently, an attacker that successfully gains access to a system has only gained access to an account with limited privileges, such as a guest account or a service account. The attacker must attempt to change to another user account with normal or elevated privileges in order to proceed. Auditing both successful and unsuccessful attempts to switch to another user account (by way of monitoring login and logout events) mitigates this risk.

The information system monitors login and logout events.
",Script,"/usr/bin/awk -F':' '/^flags/ { print $NF }' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec '^lo'
",{'integer': 1},"[source,bash]
----
/usr/bin/grep -qE ""^flags.*[^-]lo"" /etc/security/audit_control \|\| /usr/bin/sed -i.bak '/^flags/ s/$/,lo/' /etc/security/audit_control; /usr/sbin/audit -s
----
","AC-2(12)
AU-12
AC-17(1)
AU-2
MA-4(1)","3.1.12
3.3.1
3.3.2","SRG-OS-000032-GPOS-00013
SRG-OS-000462-GPOS-00206",AOSX-15-001002,"CCI-000067
CCI-000172"
CCE-84717-8,audit_folder_group_configure,Configure Audit Log Folders Group to Wheel,"Audit log files _MUST_ have the group set to wheel.

The audit service _MUST_ be configured to create log files with the correct group ownership to prevent normal users from reading audit logs. 

Audit logs contain sensitive data about the system and users. If log files are set to be readable and writable only by system administrators, the risk is mitigated.
",Script,"/bin/ls -dn $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{print $4}'
",{'integer': 0},"[source,bash]
----
/usr/bin/chgrp wheel $(/usr/bin/awk -F : '/^dir/{print $2}' /etc/security/audit_control)
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,AOSX-15-001015,CCI-000162
CCE-84718-6,audit_folder_owner_configure,Configure Audit Log Folders to be Owned by Root,"Audit log files _MUST_ be owned by root.

The audit service _MUST_ be configured to create log files with the correct ownership to prevent normal users from reading audit logs.

Audit logs contain sensitive data about the system and users. If log files are set to only be readable and writable by system administrators, the risk is mitigated.
",Script,"/bin/ls -dn $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{print $3}'
",{'integer': 0},"[source,bash]
----
/usr/sbin/chown root $(/usr/bin/awk -F : '/^dir/{print $2}' /etc/security/audit_control)
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,AOSX-15-001013,CCI-000162
CCE-84705-3,audit_folders_mode_configure,Configure Audit Log Folders to Mode 700 or Less Permissive,"The audit log folder _MUST_ be configured to mode 700 or less permissive so that only the root user is able to read, write, and execute changes to folders. 

Because audit logs contain sensitive data about the system and users, the audit service _MUST_ be configured to mode 700 or less permissive; thereby preventing normal users from reading, modifying or deleting audit logs. 
",Script,"/usr/bin/stat -f %A $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}')
",{'integer': 700},"[source,bash]
----
/bin/chmod 700 $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')
----
",AU-9,3.3.8,"SRG-OS-000058-GPOS-00028
SRG-OS-000059-GPOS-00029
SRG-OS-000057-GPOS-00027",AOSX-15-001017,"CCI-000162
CCI-000163
CCI-000164"
