CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-94423-1,os_airdrop_unmanaged_destination_enable,Ensure Treat AirDrop as unmanaged destination is set to Enabled,"AirDrop _MUST_ be treated as an unmanaged destination.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAirDropUnmanaged</key>
<true/>
----

","AC-3
AC-20
CM-7
CM-7(1)
MP-2
SC-7(10)",,,FMT_SMF_EXT.1.1 #47,AIOS-18-011500,2.2.1.10 (level 1 - End-User Owned Devices)3.2.1.23 (level 1 - Institutionally-Owned Devices),3.3,,"ANNEX D (Section 5.7.5 - AirDrop)
ANNEX K","CCI-000366
CCI-002008",medium,
CCE-94514-7,os_airplay_incoming_password_require,Require Passcode for Incoming Airplay Connection Requests,"When a user is allowed to use AirPlay without a password, it may mistakenly associate the iPhone and iPad with an AirPlay-enabled device other than the one intended (i.e., by choosing the wrong one from the AirPlay list displayed). This creates the potential for someone in control of a mistakenly associated device to obtain DoD sensitive information without authorization. Requiring a password before such an association mitigates this risk. Passwords do not require any administration and are not required to comply with any complexity requirements.
",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAirPlayIncomingRequestsPairingPassword</key>
<true/>
----

",IA-3,,,FMT_SMF_EXT.1.1 #40,"AIOS-18-010900
AIOS-18-010950",,,,ANNEX K,CCI-000063,low,
CCE-94424-9,os_airplay_outgoing_password_require,Require the User to Enter a Password when Connecting to an AirPlay-enabled device for the First Time.,"When a user is allowed to use AirPlay without a password, it may mistakenly associate the iPhone and iPad with an AirPlay-enabled device other than the one intended (i.e., by choosing the wrong one from the AirPlay list displayed). This creates the potential for someone in control of a mistakenly associated device to obtain DoD sensitive information without authorization. Requiring a password before such an association mitigates this risk. Passwords do not require any administration and are not required to comply with any complexity requirements.
",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAirPlayOutgoingRequestsPairingPassword</key>
<true/>
----

",IA-3,,,FMT_SMF_EXT.1.1 #40,"AIOS-18-010900
AIOS-18-010950",,,,ANNEX K,CCI-000063,low,
CCE-94515-4,os_airprint_disable,Disable AirPrint,"The iOS built-in AirPrint capability _MUST_ be disabled.

The service AirPrint _MUST_ be disabled to prevent intendedly printing content on unknown printers and leaking data.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAirPrint</key>
<false/>
----

",,,,,,,,,,,,
CCE-94516-2,os_airprint_force_trusted_TLS,Requires trusted certificates for TLS printing communication,"The service AirPrint _MUST_ be configured to require trusted certificates for TLS printing communication.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAirPrintTrustedTLSRequirement</key>
<true/>
----

",AC-17(02),,,,,,,,ANNEX K,,,
CCE-94425-6,os_allow_contacts_read_managed_sources_unmanaged_destinations_disable,Ensure Managed Apps Cannot Read Unmanaged Contact Accounts,Managed Apps _MUST_ not be allowed to read contacts from unamanged contact destinations. ,Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowUnmanagedToReadManagedContacts</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,"FMT_SMF_EXT.1.1 #42
FDP_ACF_EXT.1.2",AIOS-18-012400,,,,"ANNEX D (Section 5.6.3 - Contacts)
ANNEX K","CCI-000366
CCI-000051
CCI-000370",low,
CCE-94426-4,os_allow_contacts_write_managed_sources_unmanaged_destinations_disable,Ensure Managed Apps Cannot Write to Unmanaged Contact Accounts,Managed Apps _MUST_ not be allowed to write contacts to unamanged contact destinations.  ,Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowManagedToWriteUnmanagedContacts</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,"FMT_SMF_EXT.1.1 #42
FDP_ACF_EXT.1.2",AIOS-18-012300,,3.3,,"ANNEX D (Section 5.6.3 - Contacts)
ANNEX K","CCI-000366
CCI-000051
CCI-000370",low,
CCE-94427-2,os_allow_documents_managed_sources_unmanaged_destinations_disable,Ensure Allow documents from managed sources in unmanaged destinations is set to Disabled,"Documents from managed sources _MUST_ not be allowed in unmanaged destinations.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowOpenFromManagedToUnmanaged</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,"FMT_SMF_EXT.1.1 #42
FDP_ACF_EXT.1.2",AIOS-18-009700,2.2.1.8 (level 1 - End-User Owned Devices)3.2.1.21 (level 1 - Institutionally-Owned Devices),3.3,,"ANNEX D (Section 5.6.3 - Contacts)
ANNEX K","CCI-002233
CCI-002530",medium,
CCE-94428-0,os_allow_documents_unmanaged_sources_managed_destinations_disable,Ensure Allow documents from unmanaged sources in managed destinations is set to Disabled,"Documents from unmanaged sources _MUST_ not be allowed in managed destinations.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowOpenFromUnmanagedToManaged</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,,,2.2.1.9 (level 1 - End-User Owned Devices)3.2.1.22 (level 1 - Institutionally-Owned Devices),3.3,,"ANNEX D (section 5.8.3 - Institutional procurement)
ANNEX K",,,
CCE-94429-8,os_apple_watch_pairing_disable,Ensure Apple Watch Pairing is Disabled,"Pairing an Apple Watch _MUST_ be disabled.

NOTE: Any currently paired Apple Watch is unpaired and the watch's content is erased.
",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPairedWatch</key>
<false/>
----

","CM-7
CM-7(1)",,,FMT_SMF_EXT.1.1 #47,AIOS-18-012600,,,,ANNEX K,"CCI-000366
CCI-000097
CCI-000370",medium,
CCE-94430-6,os_apple_watch_wrist_detection_enable,Ensure Force Apple Watch wrist detection is set to Enabled,"Wrist detection _MUST_ be enabled for paired Apple Watches.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceWatchWristDetection</key>
<true/>
----

","AC-3
CM-7
CM-7(1)",,,FMT_SMF_EXT.1.1 #47,AIOS-18-011800,2.2.1.13 (level 1 - End-User Owned Devices)3.2.1.27 (level 1 - Institutionally-Owned Devices),3.3,,,CCI-000381,low,
CCE-94431-4,os_application_allow_list,Define Allowed Applications,"Requiring all authorized applications to be in an application allow list prevents the execution of any applications (e.g., unauthorized, malicious) that are not part of the allow list. Failure to configure an application allow list properly could allow unauthorized and malicious applications to be downloaded, installed, and executed on the mobile device, causing a compromise of DoD data accessible by these applications. Applications with the listed characteristics have features that can cause the compromise of sensitive DoD data or have features with no known application in the DoD environment.

Application note: The application allow list, in addition to controlling the installation of applications on the MDM, must control user access/execution of all core and preinstalled applications, or the MDM must provide an alternate method of restricting user access/execution to core and preinstalled applications.

Core application: Any application integrated into the OS by the OS or MDM vendors.

Preinstalled application: Additional noncore applications included in the OS build by the OS vendor, MDM vendor, or wireless carrier.

NOTE: See rule YAML file for implementation comments.",Manual, ,,This is implemented by a Configuration Profile,"CM-7
CM-7(5)",,,FMT_SMF_EXT.1.1 #8b,AIOS-18-007400,,,,ANNEX D (Section 5.8 - App-Installation),CCI-000366,medium,
CCE-94517-0,os_application_deny_list,Apps not allowed on the device,"In case specific apps are allowed to be used on the device a specific list _SHOULD_VALUEONDEMAND_ needs to be defined by the MDM. These apps will not open on the device.
",Configuration Profile, ,,"This is implemented by a Configuration Profile.
",,,,,,,,,"ANNEX D (Section 5.8 - App-Installation)
ANNEX N",,,
CCE-94432-2,os_authentication_password_autofill_enable,Ensure Require Touch ID / Face ID authentication before AutoFill is set to Enabled,"Re-authentication _MUST_ be enabled at each Autofill operation.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAuthenticationBeforeAutoFill</key>
<true/>
----

","AC-3
IA-11",,,,,3.2.1.26 (level 1 - Institutionally-Owned Devices),3.3,,ANNEX K,,,
CCE-94518-8,os_auto_correction_disable,Disable Auto Correction,"The device _MUST_ be configured not to use the auto correction feature of the iOS.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAutoCorrection</key>
<false/>
----

",,,,,,,,,ANNEX K,,,
CCE-94519-6,os_auto_dim_allow,Ensure auto dim of iPads with OLED displays is set to Enabled,"Automatic dimming of iPads with OLED displays _MUST_ be enabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAutoDim</key>
<true/>
----

",,,,,,,,,,,,
CCE-94433-0,os_auto_unlock_disable,Prevent Apple Watch from Unlocking a Device,"Apple Watches are not an approved authenticator and their use _MUST_ be disabled.

Disabling Apple watches is a necessary step to ensuring that the information system retains a session lock until the user reestablishes access using an authorized identification and authentication procedures.",Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAutoUnlock</key>
<false/>
----

",AC-11,,,FMT_MOF_EXT.1.2 #47,AIOS-18-014800,,,,ANNEX K,"CCI-000767
CCI-002235",medium,
CCE-94515-4,os_call_recording_disable,Disable Call Recording,"The built-in Call Recording _MUST_ be disabled in certain organizations or jurisdictions by legal statutes and/or privacy laws.

The Call Recording service announces to all users that a cellular phone call is about to be recorded. When recording stops (either manually by the user or by ending the call), the recording is saved to a new note in the Notes app. This functionality may be prohibited by certain organizations or jurisdictions by legal statutes and/or privacy laws.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCallRecording</key>
<false/>
----

",CM-6,,,FMT_MOF_EXT.1.2 #47,AIOS-18-015700,,,,,CCI-000366,,
CCE-94520-4,os_chat_disable,Prevent the usage of iMessage,"The iOS device _MUST_ be configured to disable iMessage on the device to prevent receiving malicious content via iMessage.  
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowChat</key>
<false/>
----

","AC-20
CM-7
CM-7(1)",,,,,,,,ANNEX K,,,
CCE-94571-7,os_default_browser_modification_disable,Disable Modifying the Default Web Browser Application,"The ability to modify the default web browser application _MUST_ be disabled to prevent unauthorized changes to the device's behavior.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDefaultBrowserModification</key>
<false/>
----

","CM-7
CM-7(1)
CM-6",,,,,,,,,,,
CCE-94572-5,os_default_calling_modification_disable,Disable Modifying the Default Calling Application,"The ability to modify the default calling application _MUST_ be disabled to prevent unauthorized changes to the device's behavior.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDefaultCallingAppModification</key>
<false/>
----

","CM-7
CM-7(1)
CM-6",,,,,,,,,,,
CCE-94573-3,os_default_messaging_modification_disable,Disable Modifying the Default Messaging Application,"The ability to modify the default messaging application _MUST_ be disabled to prevent unauthorized changes to the device's behavior.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDefaultMessagingAppModification</key>
<false/>
----

","CM-7
CM-7(1)
CM-6",,,,,,,,,,,
CCE-94521-2,os_definition_lookup_disable,Disable Definition Lookup on the device.,"The iOS device _MUST_ be configured not use the spell check feature of the OS.  
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDefinitionLookup</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)",,,,,,,,ANNEX K,,,
CCE-94522-0,os_device_name_change_disable,Disable device name changes,"The iOS device _MUST_ be configured to disable device name changes.  
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDeviceNameModification</key>
<false/>
----

",,,,,,,,,ANNEX K,,,
CCE-94434-8,os_diagnostics_reports_disable,Disable Sending Diagnostic and Usage Data to Apple,"The ability to submit diagnostic data to Apple _MUST_ be disabled.

The information system _MUST_ be configured to provide only essential capabilities. Disabling the submission of diagnostic and usage information will mitigate the risk of unwanted data being sent to Apple. 
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDiagnosticSubmission</key>
<false/>
----

","AC-20
SC-7(10)
SI-11",,,FMT_SMF_EXT.1.1 #47a,AIOS-18-013400,2.2.1.12 (level 1 - End-User Owned Devices)3.2.1.25 (level 1 - Institutionally-Owned Devices),4.8,,ANNEX K,CCI-001199,medium,
CCE-94523-8,os_diagnostics_reports_modification_disable,Disable changing Sending Diagnostic and Usage Data to Apple,"The ability to change the setting to submit diagnostic data to Apple _MUST_ be disabled.

The information system _MUST_ be configured to provide only essential capabilities. Disabling the submission of diagnostic and usage information will mitigate the risk of unwanted data being sent to Apple.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowDiagnosticSubmissionModification</key>
<false/>
----

","SI-11
AC-20
SC-7(10)",,,,,,,,ANNEX K,,high,
CCE-94435-5,os_disallow_enterprise_app_trust,Disallow Apps to be Installed from Unauthorized Sources,Apps _MUST_ be installed from authorized application repositories. Disallowing enterprise app trust prevents apps from being provisioned by universal provisioning profiles.,Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEnterpriseAppTrust</key>
<false/>
----

",CM-11,,,FMT_SMF_EXT.1.1 #8a,AIOS-18-007000,,,,ANNEX D - (Section 5.8.5),CCI-000366,low,
CCE-94436-3,os_enterprise_books_disable,Ensure Backup of Enterprise Books is set to Disabled,"If a user is able to configure the security setting, the user could inadvertently or maliciously set it to a value that poses unacceptable risk to DoD information systems. An adversary could exploit vulnerabilities created by the weaker configuration to compromise DoD sensitive information.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEnterpriseBookBackup</key>
<false/>
----

",CM-6 b,,,FMT_MOF_EXT.1.2 #40,AIOS-18-003700,,,,ANNEX K,"CCI-000366
CCI-002110",medium,
CCE-94437-1,os_erase_contents_and_settings_disable,Ensure Allow Erase All Content and Settings is set to Disabled,"Erase all contents and settings _MUST_ be disabled on institutionally owned iOS devices.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowEraseContentAndSettings</key>
<false/>
----

","CM-6
CM-7
CM-7(1)",,,,,3.2.1.12 (level 1 - Institutionally-Owned Devices),4.1,,,,,
CCE-94516-2,os_esim_delete,Ensure the eSIM Contents are Deleted When Device is Erased,"An eSIM may contain sensitive data and must be wiped of data when the mobile device is wiped to protect sensitive data from exposure.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forcePreserveESIMOnErase</key>
<false/>
----

",MP-6,,,FMT_MOF_EXT.1.2 #47,AIOS-18-015100,,,,,CCI-001033,medium,
CCE-94524-6,os_esim_transfers_disable,Ensure the ability to transfer an eSIM is set to Disabled,"Outgoing transfers of eSIMs _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowESIMOutgoingTransfers</key>
<false/>
----

",,,,,,,,,,,,
CCE-94525-3,os_exchange_SMIME_encryption_certificate_overwirte_disable,Disable changing the S/MIME encryption settings.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements.

The usage of S/MIME encryption _MUST_ be configured to set mail signing as the default.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>SMIMEEncryptionCertificateUUIDUserOverrideable</key>
<false/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94526-1,os_exchange_SMIME_encryption_default_certificate_overwrite_enable,Enable selecting the appropriate S/MIME encryption certificate.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements.

The user _MUST_ be enabled to select the appropriate signing identity.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>SMIMEEncryptByDefaultUserOverrideable</key>
<false/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94527-9,os_exchange_SMIME_encryption_enforce,Setting S/MIME encrytion as default.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements.

The usage of S/MIME encryption _MUST_ be configured to set mail signing as the default.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.eas.account) payload type:

[source,xml]
----
<key>SMIMEEncryptByDefault</key>
<true/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94528-7,os_exchange_SMIME_encryption_per_message_disable,Disable encryption selection option per mail.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements. 

The user _MUST_ not be enabled to have the option to decide wether to encrypt a mail communication. Encryption _MUST_ be the default.
",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>SMIMEEnableEncryptionPerMessageSwitch</key>
<false/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,medium,
CCE-94529-5,os_exchange_SMIME_signing_certificate_overwirte_disable,Disable changing the S/MIME signing settings.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements.

The option for a user to overwrite the of S/MIME configuration _MUST_ prevented.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>SMIMESigningCertificateUUIDUserOverrideable</key>
<false/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94530-3,os_exchange_SMIME_signing_enabled,Enable S/MIME signing of mails.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements. 

The usage of S/MIME signing _MUST_ be configured to set mail signing as the default.
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>SMIMESigningEnabled</key>
<true/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94531-1,os_exchange_SMIME_signing_overwrite_disable,Disable changing the S/MIME signing settings.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements. 

The option for a user to overwrite the of S/MIME configuration _MUST_ prevented.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>SMIMESigningUserOverrideable</key>
<false/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94532-9,os_exchange_mail_recents_sync_disable,Prevent synching of recent recipients.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements. 

The synchronization of recent addresses _MUST_ be prevented not to synchronize sensitive addresses locally to the device.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>disableMailRecentsSyncing</key>
<true/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94533-7,os_exchange_peraccountVPN,Enforce per account VPN for managed Mail accounts.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements. 

When leveraging per account VPN configurations mail, calendar and contacts need to be configured to leverage the specific VPNUUID in addition.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>VPNUUID</key>
<string>VPNUUID</string>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94534-5,os_exchange_prevent_move_enforce,Prevent move manged mails to another account.,"The iOS device needs some specific configurations for the Exchange setup to meet the minimum requirements.

The setting, prevent moving to another account _MUST_ be configured to prevent data leakage.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.mail.managed) payload type:

[source,xml]
----
<key>PreventMove</key>
<true/>
----

",,,,,,,,,ANNEX D (Section 5.6.1 - Mail),,,
CCE-94517-0,os_external_intelligence_integration_disable,External Intelligence Integrations Must Be Disabled,"The external intelligence integration feature of Apple Intelligence allows information to be downloaded from the device and processed by an external application in the cloud. The external intelligence integration feature of Apple Intelligence increases the risk of compromise of sensitive information.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowExternalIntelligenceIntegrations</key>
<false/>
----

","CM-6
CM-7
AC-20",,,FMT_MOF_EXT.1.2 #47,AIOS-18-015400,,,,,CCI-000366,medium,
